stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,37.2,0,0,0,0,0,0,2.1,0.89,0,0
 24-34,0,9.8,0,6.33,0,0,15.34,0,0,11.41,0,0,0,0,0,926.13,0.93,2.13,0,0,0,0,83.76,5.4,0,0
 36-46,0,11.4,0,72.24,0,0,265.3,0,0,0,0,0,3.93,0,0,2627.2,0,1.24,0.78,0,1.38,0,399.74,1.6,0,0
 48-58,0,1.09,5.95,224.62,0.54,0.86,486.55,0,0,0,0.51,0,7.42,0,0.46,1697.12,0,0,1.12,0,0,0,530.21,9.78,0,3.65
 60-70,0,0.63,0,104.33,1.02,0,240.69,0,0.72,0,0,2.21,5.02,5.31,3.31,588.65,0,0,0,0,0,0,141.52,1.11,0,0
 72-82,0,4.5,0,70.6,0,0.78,174.11,0,0,0,0,1.15,8.77,0,0,426.16,0,5.47,0,0.71,1.64,0,33.18,0,0,0
 84-94,0,0,0,58.37,0,0,87.06,0,0.78,0,0.57,4.61,4.36,0,0,193.86,0,0,0,0,0,0,33.08,1.14,2.23,0
 96-106,0,2.04,0,23.52,1.05,0,64.79,0,0,0,0,0,6.41,1.41,0,142.53,0,0.67,1.18,0,2.66,0.69,15.23,13.45,0.96,0
108-118,0,0,0,27.02,0,0,79.92,0,0,0,0,0,4.83,5.54,3.12,195.3,0,0.95,0,0,0,0,8.88,2.79,0,0
120,0,0,0,38.78,0,0,142.75,1.26,0,0,0,0,16.05,0,0,268.91,0,0,1.43,0,0,0,0,9.72,0,0
