stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,72.61,1066.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.46,0,0,0,0,0,0,0,0,0
  5-6,58.21,769.04,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.8,0,0,0,0,0,110.68,0,0,0,0,0,0,0,0,0
  7-9,151.66,47.51,0,163.18,0,0,29.86,0,0,0,0,0,963.56,0,0,0,0,0,0,0,0,0,0,0,1566.61,36.59,0,0,121.41,0,34.12,0,0,0,0,0,0,0,0,0
 10-12,0,5.43,0,155.52,0,23.65,49.11,0,0,0,0,0,132.94,0,0,0,0,0,0,0,0,0,0,0,2828.02,21.27,0,0,116.52,0,6.67,0,0,17.45,0,0,0,0,0,0
 14-21,2.31,0,0,2.78,305.44,6.17,0.81,0,15.69,0,0,2.62,2.15,0,0,5.9,0,0,1.46,0,9.46,1.02,0,2.07,24.08,3.02,1.92,0,3.11,0,45.1,0.9,3.26,0,3.39,2.09,0,0,0,0
 24-34,0,0,0,0,203.71,0.64,0.99,0,57.42,0,0.86,1.35,0,0.86,0.6,6.5,0,2.57,1.27,0,3.52,5.31,0,0,42.71,9.43,15.44,3.26,0,0.99,61.28,0,0,0,0,10.3,0,0,0,0
 36-46,0,0,0,0,85.13,2.71,2.52,0,43.4,0,0.86,1.28,0,0,0,5.18,0,4.93,0,0,4.11,6.84,0,3.38,36.12,0,12.35,2.58,0,0,35.3,0.81,0,0,0,3.68,0,1.27,0,0
 48-58,0,0,0,0.86,70.67,2.68,4.74,0,56.79,0,1.73,4.07,2.24,0,0,0,0,4.02,0,0.53,2.81,9.07,0,0,73.1,0,7.61,1.78,0,0,34.9,0,0,0,0,6.23,0,0.57,0,0
 60-70,0,0,0,0,157.72,0,6.14,0.58,67.36,2.42,2.65,3.56,0.66,0,0,0.77,0,3.32,0.78,0,5.92,20.95,0,4.75,62.76,0,4.97,2.05,0,0,42.96,0,0,0,0,0,4.18,2,0,0
 72-82,0,0,0,0,112.87,0.92,5.82,0,66.57,0,3.01,10.62,0,0,0,5.1,1.65,3.47,2.54,0,7.37,8.54,0,1.3,45.1,0,6.69,7.92,0,0,49.86,0,0,0,0,6.11,26.91,2.45,0,0
 84-94,0,0,1.16,0,279.1,5.88,12.09,0,121.6,0,4.96,44.94,0.91,0,0.69,7.07,0,10.62,13.02,0,10.54,22.85,0,1.81,14.54,0,14.02,3.66,0,0,91.95,0,0,0,0,0,120.94,3.46,0,0
 96-106,0,0,0,0,241.32,7.06,17.79,0,109.41,0,1.84,34.25,0,0,0.68,8.87,0,15.3,25.01,0,10.39,17.11,0,0.62,36.76,0,24.52,7.15,0,0,68.58,0,0,0,0,2.38,153.04,3.41,0,0
108-118,0,0,0,0,308.55,0,13.75,0,143.12,0,3.42,55.78,0,0,2.01,16.05,0,11.44,10.8,0,7.29,24.14,0.79,1.58,31.86,0,13.33,10.88,0,0,69.42,0,0,2.31,0,2.48,191.23,4.08,1.13,4.03
120,1.12,0,0,0,326.72,0,25.46,0,123.1,0,1.87,30.99,0,0,9.56,20.09,0,13,4.54,0,13.2,10.23,0,25.48,15.97,0,5.13,0,0,0,60.41,0,0,0,0,0,60.95,0,0,16.56
