stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,33.02,1135.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.39,0,0,0,0,0,0,0,0,0,0,0
  5-6,239.04,3098.28,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,293.93,0,0,0,67.11,51.57,0,0,0,0,0,0,0,0,0,0,0
  7-9,96.17,119.91,0,305.13,0,5.98,0,444.87,0,0,0,0,111.4,0,0,0,0,0,0,0,0,0,0,0,3894.86,93.52,0,0,1749.39,3.63,18.69,0,9.82,0,0,0,0,0,0,0,0
 10-12,0,144.51,0,219.29,0,34.29,0,498,0,0,0,0,116.32,0,0,0,0,0,0,0,0,0,0,0,3075.77,46.31,0,0,1594.18,13.34,34.02,0,207.24,0,15.83,0,0,0,0,0,0
 14-21,0,0,0,25.44,201.5,53.02,0,139.18,0,0,29.38,8.49,3.46,0,1.7,9.84,0,0,0,0,127.72,0,0,133.86,1886.97,28.91,16.3,13.13,43.64,61.04,1.4,161.53,10.32,3.61,186.15,535.37,0,0,8.77,0,1.41
 24-34,0,0,0,6.81,48.35,13.87,0,473.07,0.62,1.36,65.42,3.88,0,7,3.93,1.24,3.49,3.87,4.63,0,282.22,1.67,1.77,106.92,3266.05,19.5,21.14,33.66,0,142.01,0,0.97,3.35,0,17.36,689.17,0,0,66.16,0,3.01
 36-46,0,0,0,0,55.27,11.18,0,1096.97,0,0,81.77,1.3,0,0,2.69,1.79,5.54,4.36,23.58,2.72,226.79,2.22,3.68,68.56,2226.29,5.5,11.78,14.91,0,46.49,0.81,1.05,2.95,4.97,0,445.37,0,0,32.25,0,7.57
 48-58,0,0,0,0,41.04,7.18,0,1265.43,1.91,0.96,69.51,3.1,0,7.3,9.37,0.4,2.28,0.97,2.52,2.01,254.87,0.37,12.18,48.48,1176.11,12.31,3.3,12.82,0,16.4,0,3.76,1.96,0,0,161.63,0,0,19.1,0,3.29
 60-70,1.61,0,0,0,39,0,0,855.01,0,3.68,74.25,8.54,0,1.31,7.03,0,0.72,3.94,5.21,0,197.09,1.53,19,18.8,605.43,7.13,4.04,6.41,0,4.64,0,0,1.68,0,0,27.66,0,0,10.83,1.54,0
 72-82,0,0,1.15,3.31,33.86,3.56,0,239.57,0,1.03,59.02,6.33,0,4.52,14.52,0.93,2.35,0,1.96,0,140.61,0.58,11.24,17.84,355.56,0,3.82,8.84,0,5.11,0,0,0.77,0,0,12.47,2.37,0,16.69,3.22,0
 84-94,0,0,0,0,25.23,10,0.89,290.83,0,1.01,43.36,15.35,0,2.03,8.75,5.09,4.74,1.45,0,0,148.93,0.78,16.51,18.73,313.2,0.87,5.23,5.27,0,6.66,0,0,0.57,0,0,3.03,9.82,1.74,18.81,0,0
 96-106,0,0,0,0,22.65,4.24,2.32,188.28,0,0,31.14,10.14,0,2.42,15.58,0,5.76,2.96,3.39,0,70.32,0,5.91,16.15,206.69,1.15,4.4,2.53,0,9.09,0,0,0.76,0,0,6.49,2.31,0,17.88,0,3.58
108-118,0,0,0,0.74,21.2,13.15,2.74,191.29,0,0.59,54.02,6.11,0,0,8.24,1.39,3.74,1.38,12.55,0,65.22,0,11.09,19.41,353.34,1.25,4.17,3.23,0,3.19,0.79,0,2.66,0,0,3.16,3.02,0.56,11.68,0,0
120,0,0,0,0,15.76,7.04,0,212.6,0,0,56.76,6.45,0,0,5.09,1.36,0,1.84,3.84,0,59.77,0,9.7,14.76,413.36,6.93,4.47,8.72,0,7.24,0,0,1.16,0,0,2.31,0,0,25.84,4.22,0
