stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,taste
  3-4,138.91,2437.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.11,0,0,0,0,0
  5-6,36.62,822.13,0,0,0,0,0,0,0,0,0,0,22.27,16.8,0,0,14.71,0,0,0,0,0
  7-9,0,0,0,4.05,0,0,0,0,0,0,0,0,66.41,0,0,12.77,0,5.11,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,18.1,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.38,0,0,0,0,0,0,1.11,0,0,3.11,0,0,0,0.89,0,0.81,13.24,0.92,0
 24-34,0,0,0,0,1.29,0,0.89,0,0.63,0,0,0.83,4.89,0,0.65,0,1.43,0,0,1.33,1.02,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,7.47,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.71,0,4.43,0,0,0,4.43,0,0,0,0,0,0,0,2.44,0
 60-70,0,0,0,0,0,0,0,1.49,1.72,0,0,0,1.47,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.56,0,1.19,0,0,0,0.66,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.6,0,4.56,0,0.71,0,0,0,0,0,0,0,0,0,0,3.41
 96-106,0,0,0,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.64,0,0.5,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0
