stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,18.01,45.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,14.06,0,0,13.3,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.79,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0.88,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0.77,2.27,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0,4.53,0,0,0.66,0,0,0,0,0,0.7,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0,0,0,11.64,0,0,11.26,0,0.64,0,0,0,0,0.76,0,0
 60-70,0,0,0,0,0,0,0,0.69,0,6.18,0,0,8.13,0,0,0,16.62,0,0,3.49,0,0,0,0,0,0,0,0,0
 72-82,0,0,3.18,0,0,0,0,1.06,0,0,0,3.52,45.78,0,0,0,30.17,3.39,0,18.36,0,0,0,0,0,0,0,3.88,0
 84-94,0,0,2.31,0,1.32,0,3.87,5.23,0,0,0,1.13,73.37,0,0,0,93.69,1.79,0,15.44,0,0,0,0,0,0,0,0,0
 96-106,0,0,5.21,1.03,1.05,7.15,2.75,4.21,0,0,3.06,0,142.36,0,0,0,201.69,2.1,0,70.46,0,0.68,0,0,4.07,0,2.21,0,0.8
108-118,0,0,1.76,0.51,2.3,0,12.28,24.81,0.52,2.88,2.11,11.71,137.09,0,0.6,1.21,285.64,3.92,1.05,45.52,0.46,0,0,2.52,0,0.66,1.75,1.89,0
120,0,0,17.45,4.41,5.68,0,5.41,7.37,0,0,0,6.35,170.7,2.8,2.56,0,266.87,0,2.93,51.03,0,0,0,0,13.64,0,0,0,0
