stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,15.5,1150.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.68,0,0,0,0,0,0,0,0,0
  5-6,211.81,3865.43,110.25,0,0,0,0,0,11.49,0,0,0,0,3323.17,0,0,0,819.48,0,0,0,0,0,0,0,0,0,0
  7-9,11.92,175.98,90.04,0,3.35,0,0,0,57.21,0,0,0,0,318.79,17.52,0,0,6928.46,0,14.19,0,0,0,0,0,0,0,0
 10-12,0,7.57,34.26,0,7.19,0,0,0,0,0,0,0,0,60.54,45.91,0,0,2694.28,0,0,122.51,52.52,0,86.92,0,0,0,0
 14-21,0,2.83,0,8.04,0.85,0,0,0,0,0,2.24,0,2.04,71.64,1.68,3.47,0,4.61,3.07,0,1647.73,0,37.86,785.3,6.16,0,0,0
 24-34,0,0,0,0,2.93,0,1.09,0,0,0,8.58,0,0,38.47,0,0,1.62,0,3.58,0,40.3,0,0,192.75,2.54,0,4.11,0
 36-46,0,0,0,0,3.2,0,0,0,0,0,3.93,0,1,9.14,0,0,0,0,0,0,0,0,0,15.01,2.21,0,0,0
 48-58,0,0,0,0,1.39,0,0.56,0,0,0.58,1.98,0,0,4.49,0,0,0.74,0,0,0,0,0,0,0,0,0,0.72,0
 60-70,0,0,0,0,10.75,0,4.17,0,0,0,9.23,0,0,2.96,0,0,0.82,0,0,0,0,0,0,0,9.88,0.9,0,2.76
 72-82,0,0,0,0,0,0.57,0.73,0,0,0,6.18,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0.53,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.88,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.69,1.85,0,1.45,0,0,0,0,0.7,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.39,5.71,0.66,0,0,5.78,0,0,6.79,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.24,0,0,10.64,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
