stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature
  5-6,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.21,0,0,0,0,0,1.09,0,0,0,0.93,3.09,0,0
 24-34,0,0,2.88,0,0,0,0,4.22,0,0,2.55,0,0,10.15,0,0,0,0,1.73,0,0
 36-46,0,0,0.79,0,0,0,0,33.28,0,0,0,0,0,6.97,0,0,0,0,5.96,0,0
 48-58,0,0,5.47,0.4,3.44,0,0.69,1.65,0,0.44,4.26,0,0,22.15,0,0,2.99,0,3.43,0,0
 60-70,0,0.57,4.43,0,5.91,0,0,7.97,0.6,0,1.55,0,0,24.03,1.19,2.68,1.24,0,7.17,0,0
 72-82,0,0,12.56,1.35,3.08,0,0,1.65,0,0,1.95,0,0,13.57,0,0.69,0,0,3.04,0,0
 84-94,0,0,0,0,3.02,0,0,0.78,0,0,0.77,0.93,0,7.02,0.95,0,0,0,0,0,0.69
 96-106,0,0,1.81,0,0.95,0,0,1.33,0,0,6.43,0,0,0,0,0,0,0,0,0,0
108-118,0,0,5.96,0,3.8,0.92,0,2.55,0.59,0,2.81,0,1.35,7.97,0,0,0.63,0,3.42,0,1.11
120,0,1.01,1.1,0,0,0,0,1.3,0,0,0,0,0,13.49,0,0,0,0,0,1.94,0
