stage,endoderm,epidermis,erythrocytes,eye,glial,immune,liver,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0
  7-9,11.01,0,0,5.9,0,0,0,0,22.15,0,0,50.67,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,70.41,0,0,111.82,0,0,0,4.33,0
 14-21,0,0,0,0.99,0,0,0,0,1.86,0,0,0,0,0.89,0.81,2.6,0
 24-34,0,0,0,0,1.69,0,0,0,9.26,0,0.82,0,0,0,0,3.67,0
 36-46,0,0,0,2.14,0,0,0,1.62,9.79,0,0.59,0,0,0,0,4.73,0
 48-58,0,0,0,3.59,0,0,0.48,0,10.18,0,0,0,0,0,0,0.82,0
 60-70,0,0,0,5.4,0,0,0,0,3.88,0,0,0,0,0,0,0,0
 72-82,0,0.95,0.92,2.88,1.41,0.66,0,0.52,7.73,0.67,0,0,0,0,0,0,0
 84-94,0,0,0,8.05,0,0,0,2.68,7.76,0,1.44,0,0,0,0,0,0
 96-106,0,0,0,13.14,0,3.83,0,0,8.43,0,0,0,0,0.7,0,0,0
108-118,0,0,0,10.01,0.84,0,0,0,0,0,1.28,0,0,0,0,0,0.69
120,0,0,0,3.04,0,14.41,0,0,1.29,0,0,0,0,0,0,0,1.52
