stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,111.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.02,130.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.92,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.19,0,0,0,34.99,0,0,0,0,0,12.23,0,0,0,0,0,0,0,0,0,0,154.86,8.86,0,0,45.83,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.02,16.7,0,0,0,14.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.43,0,0,0,32.22,0,0,0,0,3.78,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.78,0.91,0,0.82,0,0,0,2.36,0,0,0,0,0,0,0,0,1.76,0,0,1.08,35.19,0,0.98,0,0,0,0,3.07,5.65,0.9,1.78,1.01,18.73,0,0,0,0,0
 24-34,0,0,0,3.37,0,0,4.01,0,0,0,0,0,0,0,0,1.15,0,0,0,0.72,0,0,9.47,324.5,0,1.53,0,0,0,6.37,0,0,11.83,0,0,74.41,0,0,0,0,0
 36-46,0,0,0,2.95,0,0,15.97,0,0,0,0.91,0,0,0,0,0,0,0,0,4.73,0,0,0.56,869.22,0,0,0,0,0,3.17,0,0,0,0,0,179.13,0,0,0.75,0,0
 48-58,0,0,0,5.43,0,0,115.9,0.4,2,0.69,36.75,0,0,0,0,6.09,0,0.6,4.77,11.46,0.42,0,1.85,1429.59,0,1.2,0,0,0,3.86,0,0,0,0,0,187.53,0,0,0,0,7.76
 60-70,0,0,0,17.69,0,0,604.86,0,0,0.9,28.61,0.85,0,0,0.99,22.3,1.44,0,0,20.41,0.84,4.87,1.52,2320.88,1.5,2.98,0,0,0,16.83,0,0,0,1.8,0,378.47,0,0,1.33,0,0
 72-82,0,0,0,15.91,0,0,834.86,8.7,0.69,0.75,19.79,1.68,0,1.87,0.59,2.8,0.49,0,2.67,40.85,1.76,1.3,1.7,2198.51,0,4.08,0.75,0,0,4.46,0,0,0,0,0,231.37,0,4.72,0,0.91,0
 84-94,0,0,0,6.77,7.11,0,605,0,0.83,0,32.06,1.26,0.91,0,0,0.63,0.69,9.21,0,33.29,0,0,7.11,1382.67,0,0,8.09,0,0,12.78,0,0,0,0,0,108.86,0,0,4.06,4.79,0
 96-106,0,0,0,6.73,23.72,0,680.17,0,0.69,2.05,16.54,0,0,0.78,3.15,0,0,0,2.94,47.3,0,4.02,0.8,1309.58,0,0.57,0.64,0,1.51,14.63,0,0,0,0,0,45.82,2.03,0.88,1.79,3.45,1.22
108-118,0,0,0,22,6.51,3.08,506.29,0,0,3.26,27.3,0.43,0,0,0.9,0,0,1,0.58,28.3,0,3.11,0.73,1715.99,0.67,2.65,0.62,0,2.92,6.4,0,0,0,0,0,65.05,0.68,1.99,2.41,0,0
120,0,0,0,19.62,11.46,0,734.45,2.24,0,1.58,88.08,0,0,0,5.38,0,1.88,0,0,39.3,1.49,0,0,3699.51,0,16.47,7.32,0,0,10.87,0,0,0,0,0,81.97,0,0,7.23,1.05,0
