stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,18.51,184.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.38,0,0,0,0,0,0
  5-6,0,55.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,307.55,0,0,0,0,0,0
  7-9,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,22.16,0,57.89,0,0,0,0,0,0
 10-12,0,5.98,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.29,15.87,0,0,0,0,25.9,5.43,0,0,0,0,0
 14-21,0.93,0,0,0,0.83,0,0,0,0,0,0,0,0,0,9.95,0,0,0,0,0,0,0,10.62,0,0,2.36,0,0,283.06,0,1.08,0.89,0,0,0
 24-34,0,0,0,1.12,19.01,0,0,3.51,0,0,4.36,0,9.41,0,63.06,3.41,0,1.95,1.39,53.08,0,1.9,73.91,0,3.81,0.69,0,0,950.93,2.79,0,10.47,0,2.04,0
 36-46,0,0,0,0,20.94,0,0,1.04,1.03,0,0,0.57,0,0,67.5,3.91,0,0,11.19,29.92,0.55,0.63,48.17,0,5.25,0,0,0,1304.54,2.36,0,4.56,0,0,1.45
 48-58,0,0,0,0.43,27.81,0,0,25.56,8.06,0.66,9.27,2.32,0,0,34.4,2.9,0,0,5.56,39.69,0,1.43,44.1,0,7.99,13.04,0,0,803.55,0.45,0,10.77,0,0.44,0.54
 60-70,0,0,0,0,54.94,0,0,20.99,10.62,1.67,0,7.42,1.71,0,50.7,16.64,0,0,0.72,39.45,0,0,35.61,0,3.96,10.49,0,0,765.51,5.92,0,17.87,3.62,0,0
 72-82,0,0,4.38,0,50.53,4.18,0,10.28,5.64,0,9.88,36.86,0,0,28.28,13.37,7.52,0,3.63,41.55,0,0,33.77,0,11.39,0,0,0,393.96,0,0,1.48,9.69,0,0
 84-94,0,0,2.11,0,96.05,0,0,20.65,10.35,0,2.58,77.21,0.76,0,41.38,22.06,8.95,0,0,73.76,0,0,26.51,0,10.18,0.59,0,0,854.19,2.04,0,4.29,29.98,3.62,0.7
 96-106,0,0,4.79,1.03,161.49,7.49,0,31.37,9.16,0,4.44,93.96,1.06,1.7,42.52,23.57,5.25,7.05,15.62,43.46,0,0,48.17,0,11.2,3.41,0,1.11,590.73,0,0,4.03,30.39,3.64,0
108-118,0,0,3.13,0,191.37,1.76,0.53,16.46,13.14,0,8.99,165.6,0,1.23,39.41,25.73,8.74,0,13.5,48.79,0,1.75,42.65,0.86,4.94,0.95,0,0,639.75,0.48,0,0.69,54.14,1.69,0
120,0,0,0,0,278.69,0,0,18.77,48.69,0,2.21,169.28,0,1.12,41.01,17.15,6.57,0,4.81,34.94,0,0,37.14,2.06,2.59,16.05,0,0,551.59,5.76,0,11.49,26.45,0,0
