stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,242.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,0,0,0,0
  5-6,8.02,259.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,15.2,0,0,21.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.08,4.26,0,0,49.93,0,19.12,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.91,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.69,3.96,0,0,50.7,0,4.52,0,7.65,0,4.89,0,0,0,0,0,0
 14-21,0,0,0,0,13.3,5.65,7.69,0,0,0,0.84,1.2,0,0,0,0,0,0,1.13,40.11,0,0,37.18,116.17,3.79,1.09,6.56,4.31,0,6.26,10.73,0,20.62,146.63,29.85,0,0,0,0,0
 24-34,0,0,2.84,0,11.37,2.55,16.48,0,0.64,0,5.85,0,0,0,2.08,0,0.64,0,0,44.34,0,0,19.12,118.47,0,1.53,4.56,0,0,72.33,0,0.97,4.2,27.57,29.66,0,0,7.02,0,4.99
 36-46,0,0,0,0,1.79,0,13.83,3.91,0,0.81,11.52,0,0,0,2.32,0,0,0,10.43,79.1,2.17,0,78.97,108.13,0,0.63,1.5,0,0,99.03,0,0,2.22,0,18.79,0,0,1.67,0,4.79
 48-58,0,0,0,0,4.86,0,11.87,6.09,0,1.96,7.31,0,0,0.38,15.69,0,0,0,2.25,56.05,1.01,0,63.38,81.34,1.63,1.73,0.38,0,0.48,56.73,0,0,4.97,0,14.58,0,0,2.64,0,12.82
 60-70,0,0,0,0,6.68,0,11.79,0.58,1.29,0,0.69,0,0,0,1.98,0.56,0,0,0.86,16.29,0.73,0,8.98,43.61,8.16,0,0,0,0,101.19,0,0,0,0,10.84,0,0,0,0,19.24
 72-82,0,0,0.87,0,2.75,0,30.29,1.29,1.48,2.56,0.52,0,0,1.89,1.22,8.39,0,0,2.23,46.51,7.32,0,25.28,46.65,0,0.88,0,0,0.8,53.69,0,0,2.68,0,1.49,0.71,0.5,1.86,1.41,15.26
 84-94,0,0,0.66,0,11.47,1.19,12.71,3.36,0.66,0,10.21,0.75,1.1,1.43,1.35,10.12,0,0,5.78,51.91,9.55,0.8,11.81,29.04,0.59,0.6,0,0,0,188.54,0,0,0.61,0,3.81,1.37,2.11,4.21,0,4.56
 96-106,0,0,0,0,12.4,0,16.48,14.1,4.05,0.69,0,1.94,1.64,0,7.49,15.14,0,0,0,28.79,12.88,0,17.34,28.66,0,2.66,4.75,0,0,118.83,0,0,1.2,0,4.48,1.23,0,0.74,0,4.62
108-118,0,0,0,0,31.88,0.59,6.3,10.08,3.93,1.52,2.18,3.2,0,2.46,12.99,13.08,0.44,0.43,2.99,32.63,20.1,0,43.1,63.1,1.26,5.57,0.49,0,0,101.61,0,0,0.49,0,0,0,0,0.42,0.68,2.18
120,0,0,0,0,27.7,0,1.95,14.73,2.6,0,0,1.28,0,1.43,4.7,19.47,9.29,0,0,19.25,1.46,0,62.51,74.29,5.09,0,0,0,0,100.91,0,0,0,0,0,0,0,1.96,0,0
