stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.57,47.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.85,0,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.86,9.96,0,0,19.21,0,0,3.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.98,0,0,0,0,30.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.16,80.48,0,0,38.78,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.27,1.03,11.33,0,11.13,0,0,0,1.94,0,0,0,0.81,0,0,0,0,0.81,0,0,0.93,125.6,76.75,0.86,0.94,0.95,0,3.14,1.38,4,0,0,7.53,88.44,0,0,0,0,0.84
 24-34,0,0,5.2,0.64,11.29,0,39.2,0.75,0,0,1.85,0,0,0,0,0,3.2,0.76,0,9.64,0,0,4.29,1290.5,5.27,42.43,3.73,0,0,9.58,0,0,0,0,2.99,346.31,0,0,4.39,0,0
 36-46,0,0,0.77,0,2.1,0,67.43,0,1.39,1.45,15.28,0,0.71,0,0,0,3.63,0,4.3,19.8,0,0.72,5.42,2912.67,5.32,32.22,2.55,0,5.7,22.86,0,0,0,0,0,727.84,0,0,6.88,0,0
 48-58,0.77,0,1.54,0,34.51,0,315.85,0.41,3.46,0.55,35.73,0,1.31,0.88,0,10.38,0,0,14.42,30.96,0,2.37,14.39,4867.73,6.14,22.56,3.65,0,0,24.06,0,0,0.54,0.9,0,803.23,0,0,4.84,0,19.76
 60-70,0,0,0.89,0,24.84,3.93,1049.22,0.69,3.28,0.68,58.65,0,0,4.92,0.61,7.43,0,0,11.14,61.59,0,0,5.07,7371.68,4.21,29.39,1.71,0,0,2.46,0,0,0.58,2.41,0,1051.41,0,3.04,3.45,0,1.74
 72-82,0,0,0.64,0,36.26,11.08,1351.65,0,0.49,11.2,81.01,5.05,3.55,0,0.9,2.8,1.47,1.24,30.16,84.35,0,7.65,4.64,7509.06,0.53,45.51,2.53,0,2.81,9.13,0,0,0,0,0,878.72,9.17,8.79,11.24,4.08,4.56
 84-94,0,0,1.56,0,43.48,16.63,1073.23,7.13,5.44,3.25,112.53,4.97,1.02,2.26,4.42,2.66,2.31,2.93,52.93,87.4,0,7.85,18.46,5780.57,11.3,26.58,10.15,0,6.05,7.31,0,0,3.13,0,0,655.34,3.62,3.54,14.69,0,9.74
 96-106,0,0,4.13,0,39.04,27.29,898.62,1.69,1.18,2.12,129.85,1.17,0,3.03,0.57,0.75,0,20.44,25.94,79.26,1.42,0.93,2.58,4681.27,3.31,29.27,0,0,0,14.08,0,0,0,0.68,0,348.09,0,3.65,18.6,6.88,4.81
108-118,0,0,11.78,0,50.14,1.18,943.02,0.64,2.1,7.69,152.59,2.05,0,0.58,1.89,3.17,0,2.46,49.83,77.87,1.14,1.73,4.41,4946.94,1.74,25.62,1.55,0,0,17.88,0,0,0,0.69,0,253.07,5.76,2.15,3.46,3.18,0
120,0,0,0,0,61.98,20.99,1104.93,0,1.33,0,335.05,8.5,0,16.97,8.53,7.23,0,23.66,1.45,95.9,4.56,17.27,1.92,8043.13,17.69,49.34,0,0,9.21,27.18,0,1.12,9.4,0,0,253,1.63,0,27.15,3.77,0
