stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,36.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,4.27,6.01,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.27,0,0,9.43,3.3,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,0,0,0,16.56,0,0,0,42.65,0,2.01,0,0,0
 24-34,0,0,0,2.47,0,0,2,0,0,0,0,4.51,0,25.82,4.43,0.77,0,3.99,0,19.07,13.77,3.99,0,52.44,0,4.05,0,0,0.84
 36-46,0,0,0,0,0,0,0,0,0,2.1,0,1.26,0,27.89,3.14,0,0.57,4.11,0,65.62,12.65,1.95,0,32.61,0,5.43,0,0,0
 48-58,0,0,0,0,0,0,4.01,0.6,0,0,0,3.55,0,4.12,6.23,4.43,1.14,3.48,0,33.86,7.32,6.49,0,49.44,2.21,3.52,0,0,0
 60-70,0,0,0,8.53,0,0,2.1,0,0,0,0.63,2.72,0,5.97,2.67,0,0,6.93,0,33.05,15.58,6.38,0,34.81,0,0,2.18,0,0
 72-82,0,2.84,0,3.01,0,0,3.42,2.62,1.55,4.18,3.89,0.99,0,7.7,3.32,1.24,1.93,3.92,0,18.09,16.99,20.48,0,46.46,0,3.04,5.97,0,0
 84-94,0,0.98,0,8.59,0,0,7.49,0,2.62,1.5,11.02,1.99,0,10.45,9.08,0.61,3.25,16.87,0,30.64,8.88,23.38,0,62.08,1.54,0,5.18,0,0
 96-106,0,5.21,0,28.74,0.96,0,18.92,0,0,2.35,12.53,0,0,18.32,4.82,2.18,4.05,6.95,1.43,16.31,19.68,16.85,0,66.26,0.7,2.52,6.05,0.62,0
108-118,0,2.71,0,21.47,0,5.07,2.88,0,0.58,0.8,15.7,0,1.33,13.43,6.5,3.92,4.68,2.76,0,12.73,24.35,20.49,0,46.13,0,0,10.97,0,0
120,0,0,0,62.75,4.26,2.66,0,0,2.29,0,17.95,0,0,27.14,3.23,4.61,0,19.68,0,2.06,58.94,37.19,0,54.99,0,0,14.04,0,0
