stage,epidermis,eye,fin.epithelia,glial,mesenchyme,neural,periderm,spinal.cord
 14-21,0,0,0,0,0,0.93,0,0.83
 24-34,0,0,0,0,0,0,0.6,0
 36-46,0,0,0,0,0,0,0,1.92
 48-58,0,0,0,0,0,0.94,6.99,0
 60-70,0,0,0,0,0,0,2.79,6.83
 72-82,0,0,0,1.84,1.46,0,0,0
 84-94,0.97,0,0,0,0,0,0,0
 96-106,0,0.96,0,0,0,0,0,0
120,0,0,3.98,0,0,0,0,0
