stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.22,103.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.14,4.47,0,0,39.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.76,0,0,0,34.27,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,16.12,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.62,0,18.06,3.94,2.25,0,0,2.04,1.44,0,0,7.55,0,0,0,0,0
 24-34,0,0,0,10.72,0,0,1.49,0,0,0,0.63,0,0,0,0.64,0,3.24,0,0,8.21,0,0,376.54,0,156.68,10.47,0,0,0.99,0,0,5.05,0.9,11.01,0,0,24.43,0,0.93
 36-46,0,0,0,19.03,18.91,0,35.45,0,0,0,17.79,0,0.93,0,0,0,3.38,0,0,9.19,0,0.96,907.54,0,139.89,0,0,0,0,0,0,0,0,29.09,0,0,35.73,0,1.47
 48-58,0,0,0,16.41,0,0,186.77,0,0.93,1.03,28.35,0,0,0,0,0,1.92,3.77,0,41.17,4.64,2.13,1996.61,0,78.49,5,0,0,0,0,0,0,0,115.5,0,0,26.1,0,1.69
 60-70,0,0,0,6.17,0,0,196.18,0,7.34,1.48,11.47,0,0,5,0,0,0.7,0,15.78,156.28,3.56,0.67,2369.11,0,97.98,2.05,0,2.92,0,0,0,0.62,0,168.87,0,7.79,65.23,0,6.89
 72-82,0,0,0,17.14,4.13,0,244.62,0,0,0.69,30.78,0,0,0.59,0,0.57,4.34,0,0,289.29,20.52,5.02,1822.77,0,135.01,6.07,0,22.47,3.39,0,0,0,0,290.39,0,29.52,57.67,0,3.38
 84-94,0,0,1.16,7.91,0.67,0,198.5,0,0,3.08,20.55,0,1.27,0,2.66,0,8.09,0,0,203.19,30.15,2.26,1197.18,0,94.94,7.24,0,23.55,6.08,0,0,0,0,176.56,0.85,14.38,49.33,0,0.62
 96-106,0,0,0,9.87,10.75,0,169.21,5.83,0,0,35.98,0.71,0,1.89,0,0,7.66,15.89,7.74,234.54,21.52,5.67,1176.9,0,159.8,1.52,0,48.38,9.92,0,0,0,0,166.45,0,14.86,92.46,2.23,0
108-118,0,0,0,2.19,5.15,2.73,125.67,0,0,1.02,19.2,0,0,0,0,1.01,6.23,0,0,264.08,21.51,12.69,1509.39,0,114.18,0.66,0,41.32,3.17,0,0.81,0,0,97.47,1.11,13.51,58.95,0,0
120,2.37,0,0,6.94,0,0,188.78,0,0,0,15.17,0,0,0,0,0,13.09,3.71,0,150.24,0,0,1263.39,2.06,149.08,6.82,0,65.98,0,0,0,0,0,44.43,0,22.5,16.34,0,0
