stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.9,0,0,0,9.28,0,0,0,0,0,0,0
 10-12,5.72,0,4.27,0,0,8.78,0,0,0,0,0,0,0,0,0,0,0,72.72,0,0,0,28.83,0,9.89,0,0,0,0,0
 14-21,0,0,0,6.59,2.66,0,0,0,0,1.35,0,0,0,0,0,0,0,15.1,0,0,0,0,0,0,0.85,4.34,0,0,0
 24-34,0,0,0,0.61,0,0,0,0,0,0,0,0.6,0,1.55,0,0,1.25,12.66,0,0,0.62,0,0.8,0,0,4.78,0,0,0
 36-46,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0.98,0,0,0,11.61,12.83,1.2,0.78,0,5.29,0,0,3.95,0,0,0
 48-58,0,0.54,0,0,0,1.11,0,0.4,0,3.81,0,0,2.27,0.39,0.42,0.37,0.45,1.77,0,0,0,0,4.05,0,0,2.59,0,0,0
 60-70,0,0,0,9.53,0,0.6,0,0,0.72,0,0,0,0,0,0,0,0,1.32,0,0,1.53,0,0,0,0,0,0,0,1.59
 72-82,0,0,0,0,0,2,0,0,0,0,0,0.6,0,0.57,0,0,0,0.77,0,0,0,0,0,0,0,4.41,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.68,0,0,1.37,0,0,0,1.12,0,0,0,0,0.76,0,0,0,0,0,0
 96-106,0,0,0,1.32,0,2.99,0,0,0,0,0,0.59,0,0,0,0,0,6.7,0,0,1.03,0,2.26,0,0,3.8,0,0,0
108-118,0,0,0,3.49,0,0,1.33,0,0,0,2.08,0,1.66,0,0,0,0,3.3,0,0.77,0,0,0.54,0,0,0,0.41,0.54,0
120,0,0,0,2.95,0,0,1.01,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,0,2.12,0,0,0,0,0
