stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0
 24-34,0,0,0,0,0,0,0.8,0,0,0,0.79,0,2.13,0,0,0,5.94,1.82,0,0,0,1.11,0.61,1.36,0,0,0
 36-46,0,5.1,0,0.69,0,0,0,0.58,0,0,0.59,0,9.48,0,0,0,14.35,0,0,0,9.43,7.49,0,3.48,0,0,0
 48-58,0,0,0,0.91,0,0,6.07,0,0,0,0.77,0,15.39,0,0,0.45,15.14,0,0,0,0,0,0,0,0,0,0
 60-70,0.65,1.72,0,4.59,2.61,0,21.62,20.26,0,0.92,2.39,0,12.75,0,0,0,15.26,0,0,0,0,0,0,2.14,0,0,0
 72-82,2.93,0,0,6.73,0,1,0,56.33,0,9.19,3.62,9.72,43.99,0,0,0,32.17,0,0,0,0,2.38,0,0,0,2.31,0
 84-94,6.19,1.07,0,3.23,0,0,0.91,84.46,0,3,6.94,0,0.8,0,1.97,0,46.88,0,0,0,2.39,6.51,0,0,2.26,0,0
 96-106,4.84,1.75,3.53,9.09,0,0,1.37,122.65,0,16.18,9.1,15.19,7.75,0,0,0.58,44.38,0,0.56,0.96,5.04,9.18,0,4.3,0.78,8.07,5.9
108-118,0.6,2.69,0,7.42,1.14,4.07,1.7,188.14,2.04,11.35,3.28,0,6.7,0.91,0.69,0,35.98,0,1.17,0,0,14.81,0,0,0.54,0,0
120,11.35,4.17,0,2.79,8.92,0,4.59,189.05,7.77,9.01,0,23.83,25.39,0,0,0,62.72,0,0,0,3.67,14.8,0,0,0,0,0
