stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,0,10.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.23,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.58,0,0,0,0,0,0,0,0,0,0,0,61.12,0,0,3.52,0,0,0,0,0,0,0,0
 10-12,0,0,5.23,0,0,0,0,0,0,0,0,0,50.18,9.3,0,28.18,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.58,5.23,0,2.3,0,0,2.72,0,4.15,8.88,0,0,0,0,0,3.39,0.89,3.95,2.81,0,0
 24-34,0,0,0,0,0,0,0,2.1,0,2.37,0,1.62,20.53,0,0,0,2.91,0,0,0,1.42,1.55,0,0
 36-46,0,0,0,0,0.73,0,0.76,5.97,0,0,0,0,5.07,0,0.9,0,0,0,0,0,0,0,0,0.78
 48-58,0,0,0,0,1.5,0,1.49,11.9,3.96,3.07,0,0.79,1.42,0,0,0,0,0,0,0,0,0.58,2.54,0.48
 60-70,0,0,0,0,0.78,0,0,22.84,0,5.73,0.88,2.67,0.73,0,0,0,2.07,0,0,0,0,0,7.5,0
 72-82,0,0,0,0,1.99,0,0,37.54,0,4.53,2.69,0,0.66,0,0.81,0,24.38,3.68,0,0,0,1.2,13.62,4.6
 84-94,0,0,0,1.01,7.54,0,0,41.17,0,6.26,3.22,0,2.25,0,0,0,30.02,0,0,0,0,0,2.95,2.34
 96-106,0,0,0,0,1.15,0,6.65,45.87,0,31.01,3.8,0,8.14,0,0,0,28.22,0.84,0,0,0,0,12.61,0
108-118,0,0,0,0.67,0,0.54,0,51.02,0,8.05,2.06,0,6.9,0,0,0,48.91,0,0,0,0,1.33,3.44,1.44
120,0,0,0,3.15,0,0,5.31,15.08,0,24.6,9,2.2,18.36,0,0,0,29.78,0,0,0,0,0,14.44,0
