stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.44,96.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.92,0,0,0,0,0,0,0,0,0,0
  5-6,29.23,212.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.81,0,0,0,10.29,0,677.79,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,3.29,0,0,0,4.01,0,0,0,0,0,5.01,0,0,0,0,0,0,0,0,0,0,0,91.91,3.33,0,0,46.1,0,121.01,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.53,3.05,0,0,0,0,40.31,5.33,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2492.6,0,0,0,0,43.97,0,0,0,1.64,0,16.09,0.82,0,0,3.71,3,0.81,15.82,0,8.27,10.71,0,0,0,0,0,22.6,0,1.15,0,0,3.66,0,0,0,0,2.95
 24-34,0,0,0,0,11044.83,2.92,0,50.04,0,963,1.02,6.14,32.24,0.73,4.25,121.21,15.41,0,0.82,1.38,5.21,54.82,156.6,0,23.6,605.11,1.36,33.92,2.39,0,0,43.41,0,0,1.74,0,63.92,0,0,17.77,0,693.6
 36-46,0,0,0.95,0,9238.04,0,0,46.54,0,1636.98,121.06,13.93,64.89,0,0.73,237.74,3.46,2.85,2.54,3.58,9.75,209.1,91.08,0,39.37,436.31,1.28,92.41,12.01,0,0,43.52,0,0,15.25,0,69.95,0,0,8.08,0,1852.52
 48-58,0,0,0,0.85,7361.85,1.83,0,147.24,0.68,2212.76,906.24,32.67,14.66,1.75,5.82,188.87,6.25,16.04,15.7,12.95,9.7,654.56,68.76,4.19,75.98,514.25,8.82,112.76,10.59,0,0,41.24,0,0,0,2.07,100.55,0,0.42,4.48,0,3649.31
 60-70,0.81,0,0,0,6009.23,7.02,0,164.85,0,1696.08,2355.46,28.62,68.81,0,0,136.78,8.41,21.69,58.31,5.88,44.5,1789.4,67.37,22.34,105.56,385.28,0,160.68,5.4,0,0.63,47.48,0,0,5.48,0,35.41,18.41,3.35,12.31,3.26,3310.41
 72-82,0,0,1.29,0,7234.28,20.51,1.09,499.6,0.59,1909.39,3887.27,61.08,309.17,1.36,4.38,166.55,40.99,45.98,112.97,17.68,125.24,4283.89,117.28,12.16,176.12,636.6,9.68,372.1,7.18,0,2.19,58.55,1.65,0,0,0,66.28,102.99,6.97,19.87,9.73,3531.26
 84-94,0.62,0,2.16,4.51,13165.5,7.23,7.55,442.12,3.75,3406.76,2580.7,62.64,829.7,0,10.71,275.91,90.68,45.91,168.59,12.14,245.3,3222.1,161.49,6.8,154.74,380.16,0,887.25,7.63,0,1.01,189.67,0,0,2.38,0,18.8,454.07,0,2.75,22.69,2709
 96-106,0,0,8.76,15.01,18041.81,81.73,25.62,718.25,6.12,3772.31,2996.8,114.58,1820.93,0,25.35,271.46,122.63,30.1,254.05,66.09,133.95,5723.72,383.43,20.73,115.54,1038.74,4.17,1557.47,11.84,0,5.4,247.53,0,0,2.09,8.19,9.32,797.47,5.41,55.95,11.25,4201.64
108-118,2.36,0,0.75,14.14,17653.32,48.72,39.67,388.98,9.31,5088.78,2717.73,95.69,2340.81,0,10.53,225.75,113.57,35.57,226.66,40.65,165.54,5935.13,206,25.84,149.8,790.35,3.33,1009.68,19.83,0,3.07,234.59,0,0,13.04,0.68,45.31,860.36,15.7,16.2,5.23,5586.8
120,4.46,0,8.23,10.27,9185.91,16.94,36.9,230.45,5.24,2702.83,2259.82,71.08,933.1,0,8.44,132.03,107.77,1.01,135.97,31.75,93.21,4650.17,153.95,45.83,130.59,964.44,7.91,439.76,33.85,0,0,171.13,0,0,3.35,0,0,281.29,129.79,4.14,1.99,2256.55
