stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,8.53,231.25,57.14,0,42.23,0,7.42,0,8.42,6.2,1.83,1.78,0.97,16.48,0.87,1.99,14.24,1.73,69.23,1.35,0,43.3,808.95,28.7,7.37,12.18,30.1,0,27.12,141.64,15.97,6.24,184.9,289.59,0,0,3.74,0,1.92
 24-34,0,0,31.6,3.79,0,48.53,0,2.71,1.49,7.09,1.08,0,0,8.68,6.79,0,1.72,0,2.47,57.77,0,0,14.66,540.26,2.66,6.31,4.11,0,1.14,13.46,1.59,5.94,1.34,7.84,128.39,0,0,7.51,0,2.34
 36-46,0,0,9.66,9.02,0,190.58,0,9.21,3.45,31.31,0,0,0,2.1,11.9,6.61,3.04,0,7.75,53.7,1.35,2.92,19.32,978.18,4.47,22.04,12.24,0,0,79.23,0,3.63,0,0,200.88,0,0,10.3,0,7.78
 48-58,0,0,17.35,1.48,0,179.27,0,2.68,0,31.08,0.38,0.48,0.4,2.27,4.37,0.62,0.98,0,0,30.95,0.53,0,9.33,491.07,1.03,7,2.13,0,0,21.99,0,9.39,1.01,0,68.99,0,0.37,3.85,0,20.82
 60-70,0.65,0,10.2,0.7,0,472.54,0,11.34,0,26.85,0,0,0.75,13.52,1.23,0,1.54,0,2.91,46.97,2.5,0.78,1.75,422.89,1.42,5.99,1.62,0,0,26.13,0,0,0,0,61.53,1.44,0,3.4,2.72,4.78
 72-82,1.26,0.64,10.72,3.58,0,312.18,0,0.99,5.3,15.97,2.33,0,1.13,18.54,2.94,0,2.84,4.86,0,42.87,2.14,1.26,5.9,296.41,0,0.54,7.85,0,0.71,2.86,0,0,0,0,40.1,2.19,0.88,11.51,2.05,2.17
 84-94,0,0,19.65,19.13,0,240.07,0,0.82,0,14.46,6.93,0.6,1,15.82,4.97,11.01,1.52,10.87,1.35,55.15,3.28,0,0,215.3,0.62,5.63,6.11,0,0,30.9,0,0,0,0,14.2,13.19,0,16.28,0,4.35
 96-106,5.24,0,33.21,40.5,3.64,454.71,4.19,4.64,4.31,44.18,21.03,0,1.74,51.39,11.85,3,11.13,10.06,0,92.1,6.62,1.32,11.49,313.04,1.15,11.31,14.79,0,1.17,34.09,0,1.86,0.57,0,36.83,9.44,2.71,20.43,1.98,14.91
108-118,3.43,0,30.97,19.85,0.59,333.87,0,4.74,1.85,32.12,10.08,0,0,29.65,5.66,3.73,2.33,6.8,0.6,102.89,8.3,3.59,6.7,464.36,1.06,6.8,18.48,0,1.96,14.88,0,2.83,0.55,0,18.28,7.18,5.01,3.41,2.08,5.11
120,0,0,56.53,8.13,0,236.5,1.06,7.59,2.35,31.59,9.28,0,3.15,54.86,8.48,13.96,0,8.97,0,68.13,0,0,9.57,583.82,6.32,18.18,5.75,0,0,32.97,0,5.07,0,0,26.35,2.24,10.7,28.37,11.5,4.79
