stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0
  7-9,17.33,0,0,0,0,0,9.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.39,0,0,0,0,34.61,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,16.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.63,0,0,0,0,0,45.1,0,0,0,0,58.92,0,17.07,0,0,0,0,0,0,0,0
 14-21,0.89,0,2.3,6.96,22.11,0,3.73,0,0,0,0,3.01,0,0,0,1,0,0,10.93,1.94,1.82,10.51,0,0,29.69,2.04,0,0,0,1354.8,1.16,0,0,4.43,6.91,0,0,1.01,0,67.98
 24-34,0,0,1.99,28.18,26.34,0,54.69,0,5.98,0,2.57,2.64,6.16,5.59,1.94,7.07,17.84,0,78.65,23.59,35.49,54.31,0.81,3.34,318.52,3.81,1.45,0,0,4533.63,0,0,0,1.98,42.21,0,0,7.51,0,2369.92
 36-46,0,1.4,0,2.52,8.91,0,44.22,0,15.16,0.6,2.72,0.66,0,1.47,3.12,2.44,47.39,0,125.06,345.54,17.36,30.38,0,9.13,218.41,3.01,1.22,2.5,0,2649.76,0,4.07,0,0,24.61,0,0,14.72,0,7323.9
 48-58,0,0,0,2.64,1.32,0,107.29,0,6.98,0.42,6.56,0.66,0,0,1.56,0.61,175.47,0,129.33,261.74,21.64,2.43,0,1.08,252.06,0.91,1.21,0,0,803.92,0,0,0,0,40.51,0,0,2.69,0,10635.37
 60-70,0,0,0,0,4.05,0,66.42,0,3.32,0,2.18,0.68,0,0,1.01,0,706.13,0,111.86,161.45,11.17,2.84,0,0.68,107.55,0,0,0,0,296.36,0,0,0,0,9.14,0,0,2.06,0,8818.51
 72-82,0,0,0,8.29,4.82,0,117.25,0,8.34,2.46,9.07,11.25,0,0,5.72,0,1143.53,0,421.54,15.89,13.93,1.05,1.21,2.11,149.45,0,2.59,0,0,149.85,0,0,0,0,6.71,0,0.56,6.75,0,6072.27
 84-94,0,0,0,10.87,4.61,0,206.16,1.77,4.59,0,6.92,1.15,0,0,1.23,0.82,884.48,0,1038.22,75.43,36.51,6.31,6.39,3.98,118.76,0,0.95,1.22,0,447.57,0,0,0,0,9.07,0,3.94,3.34,1.53,4097.41
 96-106,0,2.74,0,13.48,27.7,0,191.25,1.52,2.9,3.2,48,4.08,0,2.6,10.6,2.01,674.64,2.49,1686.44,10.36,63.58,4.55,1.06,2.72,307.06,2.88,7.41,0,0,419.54,0,0,8.4,0,7.48,0,2.43,5.33,0.58,3731.81
108-118,0,0,0,15.61,8.43,4.41,123.07,1.66,4.44,3.5,16.99,4.03,0,0.43,3.44,2.22,1033.81,0,3050.06,12.89,52.31,7.71,8.89,8.06,247,0,4.21,2.79,2.45,362.76,0,0.66,0,0,0,2.39,0,2.37,2.14,2929.88
120,0,0,0,3.12,5.28,0,51.19,0,0,0,22.16,10.98,0,0,0,0,691.22,0,1490.48,0,37.03,3.19,0,0,93.31,0,15.75,2.28,0,335.18,0,0,0,0,0,0,0,17.09,0,1134.64
