stage,eye,fin.mesenchyme,glial,ionocyte,iridophores,melanocytes,mesenchyme,neural,pericytes,spinal.cord,xanthophores
 14-21,0.85,0,0,0,0,4.3,0,0,0,0,3.62
 24-34,0,0,0,3.16,0,13.42,0,1.31,0,0,9.84
 36-46,0,0,0,0,0.65,0.6,1.1,8.5,0,0.72,0
 48-58,0,0,0,0,0,4.35,0.49,7.23,0,1.09,10.29
 60-70,0,0,0,0,0,0.59,0,0,0,2.15,0
 72-82,1.09,0.68,0,0,0,0,0,5.22,0,0,0
 84-94,0.76,0,0,0,1.31,0,0,0,1.66,0,0
 96-106,0,0,0,0,0,0,0,3.74,0,0,0
108-118,0,0,3.34,0,0,0,0,5.76,0,0,0
