stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,226.24,3639.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,552.74,4319.34,0,38.08,0,0,0,0,0,0,0,0,0,190.83,0,0,0,0,0,0,0,0,0,0,0,266.32,0,0,0,41.29,60.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,97.63,92.49,0,424.42,0,5.95,0,137.84,0,0,0,0,0,2586.94,0,0,0,0,0,0,0,0,0,0,0,2076.83,80.71,0,0,819.9,8.47,86.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,47.73,0,150.08,0,24.75,0,102.23,0,0,0,0,0,379.15,0,0,0,0,0,5.32,0,0,0,0,0,1244.86,60.66,0,0,604.9,6.84,0,3.96,51.25,0,10.71,0,0,0,0,0,0
 14-21,0,0,0,8.44,14.96,4.7,0,11.04,0,0,0,0,0,1.08,0,0,0.96,0,0,8.94,0,10.14,0,0,20.37,108.11,3.77,0,0,2.16,0,0,15.07,0,1.92,22.43,23.39,0,0,3.71,0,0
 24-34,0,0.83,0,0,4.89,0.99,0,13.84,0,0,0,1.06,1.73,1.09,0.94,0,11.29,0,0,2.14,1.85,18.26,33.41,0,1.27,125.16,0,0,0,0,0.74,0,0,0,0,8.84,16.6,0,0,4.22,0,4.6
 36-46,0,0,0,0,4.72,0,0,32.48,0.65,0,0.57,15.17,2.26,0,0,0,10.08,2.42,0,0,0,13.27,54.79,0,6.8,63.29,15.04,0,0.72,0,0,0,0,15.54,0.56,0,24.99,0,0,2.95,0,13.36
 48-58,0,0,0,0,0,0,0,33.98,0,0,0.42,182.93,0.81,0,0.58,0,12.4,0,0,0,2.01,12.56,58.5,0.84,9.44,69.08,0,0,0.79,0,0,0,0,0,0,0,13.2,0,0,0,0,6.61
 60-70,0,0,0,0,0.7,1.13,0,28.1,0,0,0,1039.95,3.84,0,0,0,17.06,0,0,5.16,0,17.36,84.47,0,1.1,183.79,0,0,0,0,5.66,0,0,18.83,0,0,11.45,0,0,0,0,6.42
 72-82,0,0,3.13,0,9.66,5.39,0,69.79,0,4.07,1.68,3685.04,7.28,0,0,3.51,4.73,0,0.65,0,14.78,42.77,160.11,1.13,7.53,183.53,0.51,1.66,0,0,6.33,0,0,2.8,0,0,0,0,0,2.23,0,4.19
 84-94,0,0,1.78,0,32.92,0,0,71.62,0,0.76,0.93,2899.82,33.24,0,0,1.17,1.43,0,1.57,0,4.83,41.09,158.23,2.07,3.66,209.93,0.65,0,0,0,1.18,0,0,0,0,0,9.47,1.17,0,0.59,0,8.24
 96-106,0,0,1.91,0,10.24,5.3,0,70.69,4.47,6.42,0,5209.77,32.71,0,0,0,4.43,0,0.68,9.23,4.28,70.71,153.92,0,7.54,212.25,0.66,2.08,2.26,0,12.4,0,0,0,0,0,0,0,1.26,2.08,0.97,2.75
108-118,0,0,0,0,9.68,1.07,2.73,71.51,0,2.73,0,4507.42,60.22,0,0,1.39,1.14,0,0.6,0.43,0.91,56.72,179.61,0,9.91,179.1,0,1.61,0.87,0,11.27,0,0,0.84,0,0,2.05,0.66,0,1.6,1.84,4.1
120,0,0,0,0,25.63,1.98,3.69,100.29,0,0,7.24,4832.8,30.28,0,0,0,6.52,0,0,5.97,0,64.17,127.13,0,1.04,183.62,0,0,0,0,1.71,0,0,0,0,0,7.84,1.22,0,1.07,0,0
