stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,469.82,9300.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.3,0,0,0,0,0,0,0,0,0,0,0
  5-6,272.28,4970.5,0,9.08,0,0,0,0,0,0,0,0,32.27,0,0,0,0,0,0,0,0,0,0,0,184.06,53.98,0,0,18.35,0,68.55,0,0,0,0,0,0,0,0,0,0,0
  7-9,182.54,106.92,0,125.62,0,0,0,476.52,0,0,0,0,132.79,0,0,0,0,0,0,0,0,0,0,0,3216.79,125.55,0,0,1316.09,0,0,48.53,0,0,0,0,0,0,0,0,0,0
 10-12,0,130.18,0,205.32,0,29.85,0,298.92,0,0,0,0,110.76,0,0,0,0,0,0,0,0,0,0,0,2971.05,120.54,0,0,765.5,0,3.1,28.95,0,187.17,0,0,5.32,0,0,0,0,0
 14-21,0,0,0,7.39,165.87,11.13,0,56.5,1,0,21.07,7.67,0,2.44,0,0.82,0,0,0,1.08,68.75,0,0,38.43,712.07,6.61,2.11,8.96,12.19,0,4.55,8.98,44.31,3.72,0,24.88,231.63,0,0,0,0,0
 24-34,0,0,0,2.95,48.33,1.28,0,92.12,2.46,1.62,37.83,4.58,0,0,0,1.3,1.41,1.81,0.86,0,132.74,0,0.69,38.87,1098.18,7.47,4.69,14.99,0,0,18.46,0,0,0.98,0,1.98,275.02,0,0,20.51,0,6.28
 36-46,0,0,0,0.63,38.2,0,0,87.62,1.19,1.35,34.65,0,0,3.31,0,3.3,0,2.26,0,0.61,135.43,1.21,6,55.65,857.6,1.87,2.58,12.71,0,0,16.76,1.1,0,1.49,0,0,237.59,0,0,4.77,0,2.71
 48-58,0,0,0,0,16.13,0.69,0,86.5,2.51,5.05,63.41,2.73,0,4.04,0.48,0,0.39,6.4,0,1.42,187.49,0,3.2,24.47,594.67,1.29,1.63,6.07,0,0,3.99,0,0,0,0,0,138.79,0,0.92,12.89,0,5.84
 60-70,0,0,0,0,16.37,0,0,90.07,3.71,1.95,80.75,0.85,0,7.26,0.6,0.58,0.98,0.79,1.41,0.88,169.85,3.12,11.64,14.26,382.81,1.39,1.75,6.12,0,3,0,0,0,0.63,0,0,79.71,0,3.12,0.98,3.8,0.77
 72-82,0,0,0,0,23.39,1.21,0,94.27,0,35.67,84.14,1.66,0.52,4.51,0,5.28,1.79,4.28,0.79,3.43,191.84,0,6.84,20.77,330.52,1.19,4.33,5.79,0,4.27,1.17,0,0,1.12,0,0,35.42,0.53,6.5,18.13,3.75,8.05
 84-94,0,0,0,0,26.33,0.6,0,75.25,1.18,3.07,45.44,2.36,0,1.22,0,12.43,3.88,1.71,6.85,2.13,152.71,1.34,11.56,17.68,188.11,1.27,5.86,7.06,0,1.56,19.21,0,0,0,0,0,20.9,3.16,8.46,5.69,0.61,2.78
 96-106,0,0,0,0,17.17,4.08,0,75.97,1.63,9.72,44.16,0.75,0,0.97,0.96,16.23,1.9,1.84,0,0,126,1.56,6.09,11.69,179.63,2.28,3.17,11.79,0,5.18,9.81,0,0,0,0,0,12.15,0,0.96,6.15,0.8,1.41
108-118,0,0,1.56,0,23.52,4.15,0.52,63.65,7.92,7.92,42.57,8.14,0,0.59,4.63,10.57,4.08,0.47,2.9,8.58,123.19,0,8.8,6.68,218.55,3.29,0.53,10.85,0,4.8,13.78,0,0,3.91,1.12,0,10.85,4.01,2.57,10.86,3.1,8.11
120,0,0,0,0,36.23,0,0,66.28,1.03,8.51,50.79,6.31,0,0,6.8,6.92,0,1.11,12.41,1.6,109.03,0,10.37,9.92,203.6,0,0,6.34,0,16.5,14.83,0,0,1.75,1.98,0,7.65,0,14.31,0,6.63,0
