stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  5-6,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0
 10-12,5.59,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.23,0,0,0,8.12,0,5.95,0,0,0,0,0,0
 14-21,0,1.54,0.89,0.99,0,0,0,0,0,0,0,0,2.67,0,0,0,0,1.28,0,0,0,0,56,0,0.83,4.93,0,0,0,0
 24-34,0,0,0,0.66,1.86,0,0,0,0,1.49,0,0,1.49,0.9,0,0,9.89,5.28,1.02,0,0,0,177.91,0,0,1.77,0,0,0.77,0
 36-46,0,0,0,0,0,4.42,1.15,0,0,11.46,0,0,0,0,2.05,0,0,1.22,0,0,0,0,233.41,0,0,1.82,1.6,0,0,0
 48-58,0,0,5.81,0,2.88,0,0,0,2.21,12.26,0,0,0,3.53,0,0,0.51,3.44,0,0,0,0,90.05,0,0,0,0,0,1.29,0
 60-70,0,0,1.65,0,0,0,4.33,0,0,10.93,0,0,0,6.83,1.68,0,0,0.63,0,0,0,0,97.76,0,0,0,0,0,0.99,0
 72-82,0,0,0,0,0,0,0,0,4.71,7.24,0,0,0,0,7.71,0,0,0,0,0,0.56,0,42.45,0,0,0,0,1.69,0.54,1.14
 84-94,0,0,3.54,0,0,0,0.63,0,1.99,13.72,0,1.67,0,0,0,0,0,0,0,0,0,0,112.84,0,0,0,0,5.34,1.42,0
 96-106,0,0,6.17,0,0.58,0,0,0,0,9.95,0,0.6,0,0,0,0,0,6.51,0,0.95,0,0,88.43,0,0,0,0,1.87,1.57,0
108-118,0,0,4.21,0,0,6.29,0,2.21,1.33,15.48,1.16,3.04,0,0,2.81,0.96,0,0,0,0,0,0,53.33,0,0,0,0,3.53,0,0
120,0,0,6.12,7.49,0,0,1.75,0,1.23,18.37,2.26,0,0,0,0,0,0,2.41,0,0,0,0,70.59,0,0,0,0,0,0,0
