stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,41.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.4,164.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.43,0,0,0,0,0,0,0
  7-9,6.63,0,4.65,0,0,0,28.59,0,0,0,0,0,13.48,0,0,0,0,0,0,0,0,0,116.82,0,0,0,39.02,0,0,0,0,0,0,0
 10-12,4.89,11.37,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.92,3.16,0,0,24.29,0,4.63,0,0,0,0,0
 14-21,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71,0,2.8,6.26,0.82,0,0,0,0.83,1.01,0,3.58,1.84,0,0
 24-34,0,0,0.93,7.66,0,0,8.82,0,0.85,0.63,5.37,1.01,0,0,1.95,0,0,0,0,8.11,2.33,3.28,71.31,4.46,1.25,1.69,0,44.56,2.39,0,1.16,12.42,6.61,0
 36-46,0,0,0,28.81,1.45,0,36.99,1.38,24.75,0,0,0.72,0,0,0.56,0.68,0,0.99,2.52,8.96,0,0.67,101.39,3.23,0,13.88,0,98.69,0,3.42,0,3.52,1.49,0
 48-58,0,0,0,14.85,3.01,0,37.4,1.24,5.77,0,0.74,3.8,1.18,0,2.19,0,0,0,3.02,17.24,0,8.16,126.39,0,0,0,0,59.57,12.13,5.68,0,7.09,11.92,0
 60-70,0,0,0,16.12,0,0,49.68,3.95,4.21,1.23,17.38,2.28,0.97,0.69,1.42,0,2.09,1.12,0,28.67,0,2.21,103.71,7.16,6.14,3.17,0,41.06,2.54,1.72,0,8.25,0,0
 72-82,0,0,0,12.07,1.54,0,12.01,0.58,1.95,0,18.45,0,0,0,0,0,0,6.29,3.23,17.02,2.18,4.28,29.3,0.98,0,0,0,10.9,0,0,0,4.07,0,2.08
 84-94,0,0,0,3.5,9.31,0,13.97,0,0.57,0,9.07,1.39,0,0,0,0,12.05,1.03,4.64,16.18,0,1.6,25.37,0,5.16,0,0,24.24,4.43,0,0,0.78,0,0
 96-106,0,0,0,0,0,0,4.05,0,0,0,3.02,0,0,0,0.7,0,0,0,0,5.17,0,0.78,6.42,0,0.7,0,0,4.37,0,0,0,0,0,0
108-118,0,0,0,5.15,0,1.01,17.13,2.37,1.16,0,2.32,3.67,0,0,0,4.31,0,0,0.97,5.37,0,1.55,5.84,0,9.34,0,0,7.15,0,0,0,0,0,0.41
120,0,0,0,8.9,0,0,28.27,4.43,2.51,0,10.74,1.08,0,0,12.05,8.31,9.39,0,3.84,43.02,0,26.61,12.69,0,0,3.06,0,12.96,0,0,0,22,0,0
