stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.99,0,0,0,3.74,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,24.42,4.09,0,0,0,0,0,0,0,4.16,0,0,0,0,0,79.06,0,0,0,0,0,0,1.05,0,0,0,0,0,0,2.73,0,0,0,0,0
 24-34,0,0,57.98,0,1.82,0,0,0,0,0,0,25.82,0,0,0,0,0,185.28,0,0.84,0,0,0.64,5.18,0,0,0,0,0,0,0,4.26,0,0,0,0,0
 36-46,0,0,6.3,0,0,0,0,0,0,0,0,35.6,0,0,0,0,0,154.54,0,0,0,0,0,3,0,0.94,0,0,0,0,0,4.68,0,0,0,0,0
 48-58,0,0,1.25,0,0.4,0,2.86,0,0.52,0,0.61,30.61,0,0,0,0,0.56,221.83,0,3.31,0,0,0,8.94,0,0,0,0,0,0,0,0,0,0,4.86,0,0
 60-70,0,0,0,0,0,0,12.05,0,0,0,0,13.51,0,4.34,0,0.57,0,318.17,0,1.93,0,0,0,12.97,0,0.63,0,0,0,3.05,0,0,0,0,0,0,0
 72-82,0,11.42,0,0.56,0,0,17.17,0,0,0,4.01,7.18,0,0.53,0,0,0,1028.53,0,13.81,0,0,0,120.85,0.52,0,0,0,0,7.49,0,2,0,0,4.27,0,0
 84-94,0,21.53,2.98,5.56,12.83,0,46.2,0.69,0,1.83,16.47,7.08,0,0,0,0.6,0,3482.07,0,11.37,0,0,0,108.71,0.6,0,0,0,4.36,4.63,2.11,0,2.98,0,6.84,0,9.49
 96-106,0,11.17,1.05,25.07,23.41,9.67,146.67,1.87,0.66,9.83,37.27,18.68,6.17,5.66,5.05,0.61,0,6237.22,0,56.44,8.39,0.84,5.49,805.31,3.38,0.84,2.41,0,8.13,33.05,0,12.79,3.44,0,25.05,3.81,6.48
108-118,0,17.72,4.41,10.28,21.61,1.79,233.96,0.47,3.55,1.13,39.74,14.61,1.9,6.51,0,0.83,1.3,11437.53,5.3,61.98,0,1.19,10.99,641.4,1.52,2.28,1.24,0,3.45,22.61,5.15,16.49,3.03,3.33,6.25,0,17.43
120,0,30.67,0,24.41,4.24,0,83.55,0,8.62,0,13.74,7.85,0,2,0,3.57,0,5664.77,0,69.8,4.3,0,1.11,377.7,1.29,0,0,0,0,14.18,3.53,8.94,0,0,12.68,0,0
