stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,22.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.27,169.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.21,0,3.4,0,0,0,0,0,0,0,0,34.82,0,0,19.61,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,17.96,0,0,3.8,0,0,0,0,0
 14-21,0,0,1.67,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,14.26,0,0,0
 24-34,0,0,0,0,0,0,0,0.71,0,1.11,0,0,20.61,10.48,0,0,0,6.49,0,0,0
 36-46,0,0,1.9,1.38,0,1.62,0,0,0,4.05,0,0,33.74,7.48,0,0,0,0,0.94,0,1.28
 48-58,0,0,0,8.17,0,1.57,0,0,0,0.44,0,2.47,112.34,18.09,2.22,0,0,0,4.13,0,0
 60-70,0,0,0,13.72,0,0,0,0,0.7,6.58,0,0,152.33,4.07,0,0,0,0,13.43,1.84,7.83
 72-82,0,0,1.44,8.06,0,2.84,0,0,0,16.62,1.42,0,115.03,5.12,0,0,0,0,40.41,1.44,2.46
 84-94,0,0,0,11.77,0,0,0,0,0,1.52,1.56,0,63.34,2.5,0,0,1.49,0,39.79,0,3.52
 96-106,0,0,0.71,7.26,0,1.05,0.71,0,0,10.71,0,0,74.92,2.78,0,0,0,0,18.9,0,4.15
108-118,0,0,0,10.19,0,1.22,0,0,0,6.8,3.07,0,38.87,10.88,0,0,0,0,0,1.53,4.84
120,0,0,1.7,26.38,1.21,8.61,0,0,0,7.54,0,2.74,79.86,0,0,0,0,2.45,7.58,0,0
