stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,101.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.98,364.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.22,0,0,0,0,8.78,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,23.3,0,0,0,23.34,0,0,0,0,0,0,0,0,0,0,0,0,0,174.32,4.29,0,0,41.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.6,0,10.11,0,0,0,28.01,0,0,0,0,0,0,0,0,0,0,0,0,0,284.13,7.84,0,0,71.74,0,0,0,19.77,0,5.88,0,0,0,0,0
 14-21,0,0,0,0,8.89,6.19,0,1.77,0,0,0.98,0,0,0,0,0,0,0,11.23,0,4.62,75.22,2.09,0,1.27,0.84,0,0,17.61,0,0,7.32,43.31,0,0,0,0
 24-34,0,0,0.8,0,1.28,0.76,0,11.99,0,0,1.94,0,0,0,0,0,0.86,0,3.65,0,2.11,162.28,0,2.47,0.62,0,6.91,0,0,0,0,1.93,39.23,0,0,0,0
 36-46,0,0,0,0,0,0,0,20.69,0.74,0,7.19,0,0,0,0.56,0,0,0,16.98,0,3.65,193.84,1.04,3.14,0,0,12.65,0.81,0,0,0,0,31.69,0,0,0,0
 48-58,0,0,0,0,2.28,0.39,0,55.24,0,0,19.35,0,0.44,0.52,0,2.58,0.69,0,13.28,0.6,1.29,173.53,0,0.9,0,0,1.9,0,0,0,0,0,33.26,0,3.06,0,0
 60-70,0,0,0,0,1.05,0.65,0,104.04,0.59,10.36,15.53,0,0,0,0,0,0,0,16.76,1.02,6.28,174.52,0,0.84,0,0,0,0,0,0,0,0,32.37,0,0,0,0
 72-82,0,0,0.62,0,0,6.34,0,87.2,0,0,17.81,0,0,4.58,0,0,0,1.59,16.84,0.57,0,86.17,0,0,0.97,0,1.91,0,0,0,0,0,8.41,0,1.26,0,0
 84-94,0,0,0,0,4.5,4.3,0,69.05,0,0,22.2,0,0,1.85,0,0,0,0,9.17,0.57,2.09,93.02,0.62,2.78,1.85,0,3.91,0,0,0,0.69,0,0,5.98,0,0,0
 96-106,0,0,0,0,3.6,14.81,0,58.15,0,0,7.84,0,0,2.5,0,0,0,1.81,15.89,4.02,0,63.92,0,2.6,0.76,0,3.32,0,0,0,5.77,0,0,0,3.76,0,0
108-118,0,0,0,0,2.98,8.98,0.82,58.34,0.61,0.5,3.04,0.57,0,2.39,0,0,0,0,12.03,0,4.16,131.1,0,0.46,0,0,2.05,0,0,0,0,0,1.68,0,0,0,0.59
120,0,0,0,0,1.16,4.51,0,35.12,4.18,2.36,16.42,0,2,0,1.63,0,0,0,10.81,0,0,53.73,0,0,1.76,0,0,0,0,0,0,0,0,0,0,2.31,0
