stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,7.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.37,0,0,0,0,0,0,0
 14-21,0,0,62.02,0,0,0,0,0,0,0,2.42,0.96,0,0,0,3.83,0,0,0,0.87,0.96,0,0
 24-34,0,0,60.4,0,0,0,0,0,0,0,0,0.65,0,0,0,10,0,0,2.29,0.98,1.45,0,0
 36-46,0,0,46.17,0,2.08,5.34,0,0,0,0,0,1.13,0,0,0,26.86,0,0,3.18,0,0.93,0,0
 48-58,0,0,56.23,0,8.7,2.26,0,0,0,0,0,0.74,0,0,0,11.65,0,0,0,0,0.53,0,0
 60-70,0,0,50.8,0,0.8,2.71,0,0.91,1.52,0,0,0.71,1.91,0,0,13.4,0,0,0,0,1.14,0,0
 72-82,0,0,32.45,0,2.83,0.49,0,1.65,4.67,0,1.53,4.48,1.29,0,0,11.97,0.58,0,0.54,0,3.7,0,0
 84-94,0,0,54.26,0,0.62,4.13,0,0,10.37,0.84,0,3.08,0,0,0,15.14,0,0,0,0,0,0,0
 96-106,0,0,44.01,0,5.09,6,1.74,0,11.19,1.22,0,3.28,0,0,0,8.17,0,0,1.83,0,0,0,3.78
108-118,0,0.71,55.32,0,0,1,0,0,14.14,0,2.51,9.78,0,2.9,1.13,6.93,0,5.15,0,0,0,1.53,0
120,0,0,101.38,11.92,0,4.97,0,2.21,35.39,0,2.26,0,0,0,0,26.84,0,0,0,0,0,0,0
