stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,10.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.32,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,3.25,0,260.62,0,0,0,0,0,0,0,0,0
 10-12,0,14.27,30.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.87,55.47,0,414.8,0,0,4.36,31.07,0,35.33,0,0,0
 14-21,0,0.93,63.4,8.4,6.03,2.13,0,0,0,0,3.4,0,0,0,13.02,0,214.6,22,0,0,18.71,0,2.71,316.98,1.15,121.38,3196.6,2.78,0,0
 24-34,0,0,1.5,0,0,0,0,0,4.03,1.82,0,0,0,1.63,48.19,0,107.89,14.13,0,0,0,0,1.01,1.41,0,9.49,294.4,0.9,1.9,0
 36-46,0,0,0,0,0,9.34,0,0,0.58,1.35,0,2.85,0,0,37.1,0,25.95,7.09,0,0,0,0,0,0,0,1.15,1.53,4.66,0,0
 48-58,0,0,0,0,0,4.91,0.6,2.33,1.46,2.98,0,0,0,0,39.17,0,30.77,19.4,0,0,0,0,0,0,0,1.71,0,2.77,0,0
 60-70,0,0,0,0,0,2.35,2.16,0,0,1.21,0,0.59,0,0,38.23,0,25.23,36.94,0,0,0,0,0,0,0,0,0,1.51,3.46,0
 72-82,0,0,0,1.7,1.53,43.13,0,0,11.2,1.09,0,7.42,0,0,56.02,0,17.63,22.97,0,1.08,0,0,0,0,0,0,0,0,0,1.53
 84-94,0,0,0,0,0,15.02,0,0,0,2.29,0,3.18,0.55,0,39.17,0.57,13.85,7.66,1.25,0.57,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.62,0,55.4,0,2.45,0,1.5,0,2.07,0,0,34.88,2,21.81,18.05,0,0,0,1.66,0,0,0,0,0,0,0,1.71
108-118,0,0,0,0.47,0,14.07,0,0,0,3.69,0,0,0,0,20.24,0.5,12.62,8.55,0.41,0,0,0,0,0,0,0,0,0.98,0,6.04
120,0,0,0,4.93,0,31.37,0,0,0,0,1.12,7,0,0,14.66,0,8.14,9.95,1.48,0,0,0,0,0,0,0,0,0,0,0
