stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.91,33.94,6.11,10.8,0,0,0,2.1,1.13,2.19,0,0,0,0,0,0,10.68,0,0,12.68,214.77,5.2,0,0.8,1.66,0,8.62,0.9,21.69,0,0,11.61,67.41,0,0,2.05,0,0.84
 24-34,0,0,28.59,12.59,304.22,0,0.75,0,26.07,0,0,1.73,5.08,1.21,2.44,2.18,1.34,140.56,0.69,0,37.74,1722.56,3.51,6.09,13.66,0,0,31.41,0,2.33,0.94,0,8.39,306.3,0,0,28.69,0,18.72
 36-46,0,0,62.9,31.1,542.6,3.01,12.43,0.71,28.95,0.67,0,0,2.69,1.79,1.49,0,2.32,128.83,0,5.63,11.24,1437.23,8.48,7.11,13.74,0,4.2,58.08,0,3.04,0,8.95,0,154.31,0,0,22.58,0,8.72
 48-58,0,1.75,81.36,21.15,816.03,0.78,2.39,0.88,128.05,9.04,0,4.08,0.49,0,5.61,1.05,3.98,82.48,0,8.51,35.37,1396.02,4.21,11.38,16.07,0,0,32.46,0,0,6.51,0,0,110.79,0,0,9.84,0,0
 60-70,0,0,81.01,10.51,783.75,0.78,29.03,6.82,99.6,9.52,0,0,7.52,0,15.14,6.08,0,161.3,0,3.84,17.55,952.72,9.39,2.45,9.65,0,0,20.72,0,0,0,0,0,67,0,0,15.78,0,0
 72-82,0,0,23.56,11.09,201.54,0,0,6.65,29.17,1.67,0,1.75,7.91,4.64,3.32,6.21,0.88,88.51,0.56,1.72,4.7,290.98,0.88,4.18,2.98,0,1.77,6.63,0,0,0,0,0,20.6,0,0,9.77,0.73,0
 84-94,0,0,16.67,8.92,103.61,0,0,6.11,20.58,1.81,0,3.65,5.41,4.19,0,0,7.11,92.45,2.02,7.28,5.64,236.44,2.95,0.71,0,0,0,8.12,0,0,1.26,0,0,4.3,6.62,1.26,21.53,1.07,0
 96-106,3.15,0,2.02,0.78,51.02,0,2.75,0,9.51,1.8,0,0,2.43,0,0,0,0,28.07,0,0,1.87,138.42,0,0,2.04,0,1.28,8.31,0,0,0.61,0,0,14.27,0,0.75,10.06,0,0
108-118,0,0,11.08,6.64,87.03,3.95,0,1.75,23.44,1.89,0,1.61,4.65,0,2.37,1.75,2.39,32.15,0,1.18,7.65,160.02,0.41,0,2.81,0,0,3.3,0,0,0.45,0,0,4.69,0.46,0.64,7.58,0,0
120,0,0,28.56,20.82,327.48,1.18,0,11.08,73.49,1.19,0,5.18,12.89,0,15.64,0,2.32,51.38,0,2.21,13.59,516.28,1.08,0,1.12,0,0,5.89,0,0,0,0,0,0,0,0,12.91,5.15,0
