stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,lateral_line,melanocytes,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,334.75,4068.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.66,0,0,0,0
  5-6,524.79,8900.63,0,0,0,0,0,0,0,0,0,0,205.39,14.47,0,24.22,93.66,0,0,0,0
  7-9,59.26,113.69,184.35,0,0,156.65,0,0,159.03,0,0,0,2299.62,53.95,0,624.54,4.5,0,0,0,0
 10-12,0,8.8,8.99,0,0,63.03,0,0,0,0,0,0,251.92,5.66,0,67.74,0,0,0,0,0
 14-21,0,0,1.03,7.76,1.69,4.12,0,0,0,0,3.43,1.23,69.55,0,0,2.5,0,0.9,0.98,6.31,0
 24-34,0,0,0,0.67,2.55,0,0,1.8,0,0,0,0,42.12,0.92,1.47,0,0.72,0,4.06,0,1.32
 36-46,0,0,0,0,0,2.2,0,0,0,0,0,0,21.12,0,0,0,0,0,0,1.69,3.51
 48-58,0,0,0,0,0,2.52,0,0,0,0,0,0.9,16.65,11.19,0,0,0,0,0,1.68,0
 60-70,0,0,0,0,0,3.42,0,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,7.54,0,0,0,5.24,0,0,7.24,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,7.82,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.71,0,0,0,0,0,2.44,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,15.12,0,0,0,0,0,0,6.54,0,0,0,0,0,0,0,0
