stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.71,0,0,0,0,0,0,0,0
 14-21,0,15.22,4.24,0,0,0,0,0,1.25,4.43,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,1.67,0,0,5.95,0,0,0,0,0
 24-34,0,23.73,0,0,35.17,0,0.61,0,0,0,0,0,0,1.84,0,2.54,0,0,5.38,3098.28,0,0,0,0,2.58,0,0.75,269.99,0,0,3.82,0,0
 36-46,0,31.65,0,0,10.2,0,0,0.88,8.74,0,0.87,0,0,0,0,5.38,0,0,0.66,9089.72,0.85,1.36,0,0,7.01,0,0,179.74,0,0,4.38,0,0.61
 48-58,0,16.86,2.58,0,57.52,0,1.13,0,15.75,0,0,0.45,0,0,0,20.36,0,0.87,7.4,6284.87,0,4.39,0,0,15.54,0,0,212.61,0,0,5.05,0,3.51
 60-70,0,9.84,0,0,96.56,0,0,1.47,15.6,2.7,0,0,5.32,0,0,17.12,0,0,22.47,5924.38,0,0.6,0.72,0,9.3,3.99,0,185.83,0,0,0,0,16.8
 72-82,0,19.6,0,3.79,115.32,0,0,0,34.16,40.97,0,0.55,34.85,0,0,84.05,0,0,1.7,12187.41,0,2.91,0.67,0.71,0,0,0,43.39,0,0,2.76,0.93,3.34
 84-94,0,11.79,3.24,0,177.42,0,0,0,15.74,57.97,0,0,0,0,0,4.64,0,0,0,5015.51,0.56,0,0,0,8.8,0.89,0,4.64,0.72,0,0,0,0
 96-106,0,18.8,6.59,9.51,492.5,0,0,6.2,25.94,49.07,0,1.56,0,0.61,1.03,42.78,19.84,0,0,7752.64,69.93,31.14,0,0,29.46,0,0,0,0,2.14,0,0,35.46
108-118,0,8.99,5.49,14.79,310.05,0,0.94,0,100.86,76.07,0,0,0,1.49,0,53.6,0,0,0,8884.26,3.94,14.21,0.77,0,1.83,1.48,0,3.16,0.46,0,0,0,0
120,0,28.01,76.17,8.6,138.69,6.39,0,2.12,17.75,57.61,0,1,1.01,32.78,0,17.05,0,0,0,8829.34,13.17,45.89,1.02,0,0,0,0,21.5,0,0,12.25,0,0
