stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.96,6.74,0,3.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.78,3.91,0,4.22,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,125.48,2.66,0.93,0,0,0,2.82,11.36,0,0,0,0,3.3,0,0,3.12,20.87,0,2.06,0,0,0,1.12,0.82,5.88,15.97,0,0,0,0,0
 24-34,0,0,0,56.58,0,3.66,1.43,5.75,1.87,99.11,1.34,2.35,0,0,0,74.27,1.24,0,59.09,62.64,7.96,1.77,0,0,1.76,0,0,0.59,57.88,0,0,0,0,0
 36-46,0,0,0,27.31,0,13.27,0,8.24,6.36,193.17,0,0,0,0,0,162.26,0,1.48,117.61,130.91,6.47,4.33,0,0,0.66,2.07,0,0,46.95,0,0,0,0,0
 48-58,0,0,0,40.75,0,9.33,0,11.12,16.5,133.51,0,1.85,0,0,0,167.31,0,7.8,54.86,84.25,4.82,2.32,0,0,2.06,0,0,0,19.18,0,0,0,0,0
 60-70,0,0,0,45.97,0,40.48,0,26.97,4.67,81.42,0,0.58,0,0,0,148.12,0,17.94,13.79,22.14,0.98,7.23,0,0,0.61,0,0,0,15.72,0,5.08,0,12.19,0
 72-82,0,0,0,37.16,0.75,68.09,0,19.78,14.51,50.71,0,2.92,0,0,0,237.37,0,13.12,26.24,43.1,2.22,6.03,0,0,0.58,0,0,0,2.18,1.36,6.38,0,18.47,0
 84-94,0.62,0,0,47.82,0,29.27,0,55.03,9.78,58.57,0.94,9.7,0,0,0,172.8,0,7.77,17.28,43.68,2.1,4.19,0,0,0,0,0,0,18.44,0.66,3.56,2.07,38.81,0
 96-106,0,0,0,72.73,10.75,70.93,0,27.17,1.85,25.68,1.42,5.38,0,0,0.79,118.52,0,6.74,23.81,28.41,1.96,13.22,0,1.92,8.04,0,0,0,3.98,0.67,0,0,47.31,0
108-118,0,0,0,58.42,0,6.02,0,71.4,7.28,46.27,1.56,4.82,0.45,2.89,0,141.97,0,9.82,10.86,28.61,2.15,7.09,0,2.36,0.47,0,0.42,0,8.48,1,0,0,79.58,5.34
120,0,0,0,63.68,0,40.84,0,40.62,3.99,27.2,0,9.87,4.64,0,0,80.02,1.13,7.65,21.4,28.01,1.45,0,19.84,4.22,5.13,0,0,0,5.24,0,0,0,99.57,0
