stage,blastomeres,epidermis,eye,glial,hatching_gland,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,14.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.73,0,4.84,0,0
 24-34,0,0,1.3,0,0,0,1.79,1.59,0,0.82,1.21
 36-46,0,0,0,0,0,0,6.86,0,0,0,9.86
 48-58,0,0,1.37,1,3.4,3.43,13.81,0,0,3.21,0.62
 60-70,0,0,0.98,0,0,0,4.24,0,0,0.82,0.76
 72-82,0,0,7.37,1.56,0,0,5.3,0,0,0,0
 84-94,0,0,3.37,0,0,0,4.83,0,0,0,0
 96-106,0,0,0,0,0,0,1.49,0,0,0,0
108-118,0,0.81,0,0,0,0,4.84,0,0,0,0
120,0,0,0,13.66,0,0,4.83,0,0,1.19,8.67
