stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,407.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0
  5-6,21.54,554.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.92,0,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0
  7-9,0,15.17,0,33.5,0,0,41.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.04,10.55,0,0,110.74,0,5.34,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.29,6.38,0,0,63.27,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.87,0.98,2.31,0,0,0,1.34,1,0,0,6.71,0,0,0,5.45,0,0,0.99,85.08,1.84,0,0.88,0,0,0,10.84,0.81,0,2.68,23.06,0,1.22,0,0
 24-34,0,0,0,0,5.01,0,4.15,0,0,0.62,2.13,0,0,0,2.76,0.63,0,0,8.04,0,0,1.02,142.04,0,1.05,2.57,0,0,1.62,0.95,0,0,1.43,25.31,0,0,0,0.77
 36-46,0,0,0,0,2.28,0,15.99,0,0,0,4.94,0,0,0,0,0,0,0,9.81,0,0,3.8,113.25,0,0,0.89,0,0,9.03,0,0.81,6.28,0,25.2,0,2.21,0,0
 48-58,0,0,0,0,0.37,0,35.58,0,0,0.38,13.46,0,0,0,0,0,0,0,27.38,0,1.4,1.72,121.94,0,7.25,0.48,0,0,2.27,0,0,0,0,27.38,0,0.45,0,2.52
 60-70,0,0,0,0,0,0,37.95,0,0,0.93,10.11,0.65,1.47,0,0.56,0,0,0,14.22,0,1.84,15.55,32.67,0,0,0,0,0.84,2.09,0,0.76,0,0,4.58,0,0,0,0
 72-82,0,0,0.78,0,0,0,18.82,0,7.37,0,6.75,0,0,0,0,0.65,0,1.8,16.15,0,0,1.48,25.24,0,1.51,0,0,0,0.63,0,0,0,0,3.07,0.99,1,0,0
 84-94,0,0,0.66,0,4.29,0,23.64,0,0,0,6.77,0.72,0,0.56,0,0,1.2,0,33.09,0,0,0.55,12.76,0,0,2.03,0,0,0,0,0,0,0,0.62,0,8.23,0,0
 96-106,0,0,0,0,3.01,0,5.72,2.82,0,0,5.68,0.64,0,0.7,0,0.92,0,0.65,17.13,0,0.63,1.15,19.7,0,2.25,0,0,3.83,3.45,0,0,0,0,0,0,0,2.64,0
108-118,0,0,0,0,0,0,14.98,0,0,0.79,6.15,0,0,0,0.52,0,0,0,11.44,2.89,0,1.7,36.82,0,0,0.43,0,1.14,5.62,0,0,0,0,0,0,1.56,0,0.75
120,0,0,0,0,5.94,0,9.66,0,1.42,0,8.76,0,0,1.47,0,0,0,0,14.77,0,0,4.67,21.69,5.44,0,0,0,0,1,0,0,0,0,16.26,0,0,0,0
