stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,141.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,102.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.24,47.4,0,11.8,0,0,0,18.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337.95,25.08,0,0,53.8,0,3.63,4.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,27.3,0,0,0,31.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.67,0,0,0,94.46,0,0,11.76,4.61,13.39,0,0,0,0,0,0,0
 14-21,0,0,0,2.87,22.77,3.98,0,18.76,0,0,0,68.31,0,0,0,0,0,0,0,12.87,0,5.53,120.29,1.28,0,0,0.82,0,0,2.03,16.08,7.62,28.5,104.52,0,0,0,0,0
 24-34,0,0,0.67,0,3.25,0,0,6.43,0,0.92,0.76,20.77,0,0.98,0,0,0,0,0.76,6.76,0,4.53,90.4,12.21,0,4.11,0,0,2.53,0,1.5,111.05,0.73,49.55,0,0,0.77,0,0
 36-46,0,0,0,0,14.02,0,0,1.77,0,0,0,4.26,0,0,0,0,0,0,0,13.54,0,0.59,108.01,5.59,0,0,0,0,8.19,0,0,60.62,0,46.78,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,6.13,0,0,0.41,15.22,0,0,0,0,0,0,0.39,9.92,0,4.35,53.16,0.56,0,7.87,0,0,0,0,0,58.07,0,82.9,0,0,0,0,0
 60-70,0.81,0,0,0,0.71,0,0,24.88,0,1.45,0.84,110.25,0.88,0,0,0,0,0.65,53.05,38.86,0,0,30.48,0.66,0,24.8,0,0,0,0,0,57.65,0,123.89,0,1.84,0,0,0
 72-82,0,0,0,2.11,3.61,0,1.49,24.84,0,10.78,0,883.47,0.51,0,0,0,0,4.17,77.01,65.3,0,4.49,45.79,0,1.92,20.43,0,0,1.08,0,0,59.74,0,120.74,30.54,0,11.65,1.19,0
 84-94,0,0,1.29,4.83,3.6,0,1.31,41.44,0,0,0,881.68,3.46,0,1.03,0,10.03,28.19,342.28,76.74,1.22,0,38.56,0,0,48.28,0,2.93,8.3,0,0,173.45,0,163.48,227.27,1.62,6.72,1.92,5.5
 96-106,0,0,0,21.96,27.02,9.43,3.24,74.1,0.57,0,7.02,1000.34,4.29,0,3.63,4.71,5.54,26.5,458.04,124.78,1.76,22.37,172.75,5.94,2.29,40.9,0,0,15.13,0,0,139.29,0,252.72,556.28,0.78,9.03,49.55,0.69
108-118,3.95,0,0,23.66,20.85,17.1,43.33,54.68,0,3.06,0,853.04,17.74,1.03,0.42,0,11.96,63.94,938.02,98.13,6.42,61.92,107.49,0,0,80.39,0,0,20.91,0,0,131.81,0,133.88,792.05,0,1.24,3.1,0
120,0,0,3.29,0,1.41,0,1.57,33.52,0,2.39,0,809.91,8.92,0,2.69,6.31,0,50.8,403.63,142.78,0,58.9,90.98,0,0,8.2,0,0,2.29,0,0,84.17,0,108.74,359.65,0,0,14.55,0
