stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,59.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.99,55.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93,0,0,0,6.68,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,12.4,1.07,2.18,0.83,0,2.93,0,0,0,1.8,0,0,2.15,0,0,0,0.99,1.73,0,0,1.97,20.19,1.14,1.03,0,1.19,0,0,0.9,3.63,0,1.68,37.23,0,0,0,0,0
 24-34,0,0,18.67,2.71,1.06,0,0,1.28,0,0,0.59,0,0.67,0,3.64,0,0,0,0,19.49,0.68,1.91,5.16,59.93,1.47,0.63,0,0,2.91,0,0,0,0,0,35.41,0,0,3.07,0,0
 36-46,0,0,3.74,0,0,0,0,7.23,0,0.96,4.31,0,0,0,2.74,0,0,0.72,0,34.75,0,12.08,14.85,223.53,0,0,0,0,0.77,0.89,0,2.07,0,0,14.25,0,0,2.2,0,0
 48-58,0,0,5.78,0,3.23,0,0,15.95,0,0,3.71,0,0,0,0,0,0,0,0,52.6,1.05,20.46,9.96,340,0,2.06,0,0,0.91,3.01,0,0,0,0,18.34,0,0.42,2.7,0,0
 60-70,0,0,9.06,0,1.15,4.65,0,50.82,0,1.83,15.08,1.78,2.07,0,6.5,0,0,0.78,0,75.55,1.1,16.59,3.77,470.23,0,0,0,0,5.87,0,0,0,0,0,12.45,0,3.88,0,0,0
 72-82,0,0,22.41,0,5.01,1.07,0,33.51,0,8.82,10.15,31.05,0,0,0.83,0,1.04,0,0,83.43,11.06,12.1,10.55,817.05,0,0,0,0,12.93,0,0,0,0,0,38.4,0,2.94,0.91,4.62,8.23
 84-94,0,0,36.65,0,3.39,3.46,0,30.35,0,6.57,18.44,55.31,0,0.76,0.61,1.69,0.8,0,0,92.54,12.7,38.63,4.59,409.57,0,0,0,0,16.73,1.97,0,0,0,0,26.3,0,5.07,1.22,0,0
 96-106,0,0,40.84,0,12.09,14.15,0,25.91,0.66,5.42,18.76,84.27,0,0,3.17,0,2.02,3.93,0,44.01,25.53,14.31,3.96,523.65,0,3.13,0.65,0,42.47,1.77,10.16,0,0,0,25.22,0.81,0.79,0,3.01,0
108-118,0,0,25.94,0,4.81,0,1.73,27.48,0,1.35,21.2,54.65,0,4.79,5.13,0.49,1.75,2.5,0,31.99,4.35,2.26,7.05,582.63,0,0.54,1.74,0,49.95,2.31,0,0,0.45,0,29.25,0,0,1.58,1.79,3.17
120,0,0,17.94,0,12.8,1.01,14.01,25.71,0,0,11.55,85.94,0,1.99,4.81,0,3.58,0,0,79.97,7.37,15.4,13.04,699.93,2.06,0,2.11,0,6.01,5.27,0,0,0,0,13.56,1.27,22.17,0,0,0
