stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,heart,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,21.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,4.97,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,64.1,0,62.98,0,0,0,0,0,0,0,0,0,0,39.36,0,0,0,6.73,0,0,0,12.49,0,0,0,0,0
 14-21,0,2.26,46.71,29.2,4.03,0,0.98,91.79,0,0,438.14,0,0,27.2,169.93,0,1.04,0,0,0,0,17.51,0.85,0.86,4.23,0,0,0
 24-34,0,3.65,0.62,26.19,0,0,0,24.39,0,0,123.23,0,2.43,15.58,72.26,0,0,0,0,0,0,0,3.74,5.09,1.52,0,2.39,0
 36-46,0,0,3.19,4.55,2.24,0,0,32.79,0,0,53.07,0,1.45,3.62,8.68,0.62,0,0,0,5.81,0,0,0,0,0.67,0,0,0
 48-58,0,0,1.27,0,0.63,0,0,1.37,0,0,19.96,2.81,27.53,1.21,7.25,0,0,0,0,2.3,0,0,0,0,5.71,3.63,0,0
 60-70,0,0,0,0,0,0,0,3.78,0,0,2.94,0,7.85,0,6.46,0,0,0,0,1.54,0,0,0,0,0,10.68,0,1.13
 72-82,0,0,1.82,0,1.53,0,0.67,15.11,0,0,6.24,0,11.57,10.16,0,0,0,0,0,0,0.61,0,0,0,1.47,22.28,0,2.26
 84-94,0,0,0,0,7.68,4.66,1.31,7.44,0,0,1,0,20.69,15.19,0.71,0,0,0,0,2.02,0,0,0,0,0,18.46,0,11.66
 96-106,0,0,0,0,5.05,5.89,0,11.18,2.86,0.96,8.95,0,3.52,19.13,5.88,0,0,1.23,0,2.22,1.05,0,0,0,0,16.95,0,9.4
108-118,0,0,5.95,0,0,1.47,0,4.74,0,0,2.71,0,3.22,11.63,4.11,0,0,0,0,2.92,0,0,0,0,0,10.17,0,0
120,0,0,0,0,0,10.12,0,0,0,0,1.15,0,5.31,14.4,24.65,0,0,0,0,0,0,0,0,0,0,30.02,0,9.72
