stage,epidermis,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,1.5,0,0,0,0,0,1.04,0,0,1.02,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,7.64,0,8.61,0.99,0,0
 36-46,0,0.59,0,0,0,0,0,0,0,0.86,0.6,0,8.16,0,16.92,0,0,0
 48-58,0,2.72,0,1.73,0,0,0,0,0,0,0,0,7.16,0,9.54,0.92,0,0
 60-70,0,3.1,0,0.79,0,0,0,0,0,3.13,0,2.23,2.1,0,11.59,0,0,0
 72-82,0.8,2.02,0,1.32,0,0,0,0,0,2.85,0,1.18,21.71,0,0,3.97,1.25,2.67
 84-94,0,1.26,0,0,0,0,0,0,0,0.61,1.22,0,15.58,3.76,6.2,0,0,0
 96-106,7.01,1.37,0,0,0,0,0,0.78,0,0.63,0,0,2.8,0.56,15.99,2.15,0,0
108-118,1.52,2.9,0,2.23,0,0,0.66,0,0.54,0.84,0.57,0,1.88,0,11.33,0,0,0.62
120,3.92,13.55,2.48,0,1.55,0,6.22,1.48,0,0,0,0,14.6,0,3.17,0,0,2.49
