stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,34.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,72.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0
  7-9,3.88,8.9,0,0,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.75,0,0,0,7.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.8,0,12.59,0,0,25.12,0,0,0,0,0,10.69,0,0,0,0,0,0,0,0,0,0,0,311.87,19.24,0,0,110.08,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,0,24.53,3.88,9.56,0,0,0,4.72,0,1.79,0,0,0.84,0,0,0,0,4.87,0,0,6.27,128.51,3,0,1.87,1.98,0,0,0,19.42,3.41,0,9.36,30.61,0,0,0,0
 24-34,0,0,0,0.65,5.69,1.11,17.32,0,0.78,0.68,9.32,0,0,0,0,0.59,0,0,0,1.23,33.73,0,0,11.87,165.86,2.94,0,0.9,0,0,2.36,0,0.85,0.63,0.63,2.4,31.88,0,2.32,0,0
 36-46,0,0,0,0,4.81,0,22.33,0,0,1.19,5.54,1.82,0,0,0,0,0,1.36,0,0,22.65,1.37,0.77,4.6,97.17,1.37,0,2.11,0,0,0,0.65,0,0,0,0,19.01,0,0.56,0,2.73
 48-58,0,0,0.46,0,9.37,0,17.12,0,0,1.47,16.03,0,0,0,0,0.48,0,2.3,0,0,21.1,0.49,0.73,5.45,31.56,2.05,0,1.67,0,0.53,0.41,0,0,0.44,0,0,3.85,0,0,0,0.44
 60-70,0,0,0.7,0,8.21,0,13.07,0.59,0,0.91,12.24,1.69,0,0,0,0,0,0,0,0,24.08,2.12,0,1.91,14.39,1.12,0,0,0,0,0,0,0,0,0,0,2.96,0.83,1.46,0,0
 72-82,0,0,0,0,2.82,0,9.11,0,4.33,3.27,6.12,0,0,0,0,0.61,0,0.56,0,1.45,33.08,1.76,1.42,7.29,4.37,0,0,0,0,0.8,0,0,0,0,0,0,0.96,0,1.18,4.42,0
 84-94,0,0,0,0,6.17,0,9.19,0,1.55,0.91,7.32,0,0.64,1.45,0.58,1.25,4.12,0,6.92,14.34,32.85,4.49,6.5,10.25,18.29,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0.88,3.6,0
 96-106,0,0,0,0,8.81,0,9.54,0,2.99,0,6.19,1.47,0,0.99,0,0,2.09,0,0,0,34.43,0,0.8,7.22,8.14,1.35,0,0,0,0,0,0,0,0,0,0,6.68,0,2.38,1.74,2.47
108-118,0,0,0,0,7.35,0.64,9.9,0,2.98,0,18.52,0,0,1.03,0,0,2.45,0,1.24,0,46.3,4.46,1.45,5.08,23.16,2.92,0.6,1.58,0,0,0,0,0,0,0,0,0,3.02,1.85,1.61,2.69
120,0,0,0,1.28,1.38,0,12.78,0,4.27,2.6,20.86,0,0,0,1.25,0,0,0,0,0,37.12,1.63,0,3.25,23.1,0,0,0,0,0,0,0,0,0,0,0,0,1.52,10.89,15.73,0
