stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,218.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.17,393.91,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,9.28,13.67,0,0,0,0,0,0,0
  7-9,0,16,4.46,0,0,0,39.56,0,0,0,0,24.75,0,0,0,0,0,207.63,0,0,0,48.83,0,0,0,0,0,0,0,0
 10-12,0,0,5.18,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,200.67,3.96,0,0,31.06,4.52,8.5,0,0,0,0,0,0
 14-21,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0.98,0,1.1,5.78,0,1.04,0,0,0,0,0.82,5.07,0,0,0,0
 24-34,0,0,0,0.78,0,0,0,0,0,0,0,0,0.69,0,0.97,0,0,4.54,0,0,0,0,0,0,0,0.64,0,0,0,0.98
 36-46,0,0,0,0,0,0,2.65,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0.45,0,0,3.18,0,0,0,0,0,0,0,0,0.98,0,0,0.47
 60-70,0,0,0,0.7,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0
 72-82,0,0,0.75,0,0,0.76,0.67,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0
 84-94,0,0,0,0,0,0,0,2.03,0,0,0,0,0,2.1,4.68,0,0,7.11,0,0,0,0,1.33,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.64,0,1.19,0,0,0,2.63,0,0,2.43,0,0,1.18,0,0,0,0,0,0,0.56,0,0
108-118,0,0,0,1.27,0,0,7.81,0,0,0.98,0,0,0,0,1.8,3.22,0,3.19,0,0,0,0,0.56,0,0,0,0,0,0,0
120,0,0,0,0,1.7,0,2.69,0,0,1.75,0,0,0,0,0,0,0,1.4,0,0,0,0,5.49,0,0,0,0,0,0,0
