stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.83,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.16,0,0,0,0,4.24,0,0,0,0,0,0,0
 14-21,0,0.83,0,0,0,0,0,0,0.89,0,0,0,0,0,10.08,0,0,0,0,4.87,0.87,1.77,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.21,0,0,0,1.42,0,0,9.3,0,0,0,0,12.69,0,0.65,2.73,0,0,0.78,0
 36-46,0,0.6,0,0,0,0,1.09,0,0,0,0,4.31,4.9,0.55,35.2,0,0,0,0,4.58,0,0,1.99,0,0,0.82,0
 48-58,0,0.49,0.48,0,0.66,0,0.48,0,0.55,0,0,0.47,0.83,0.38,10.28,0,0,0,0,4.12,0,0,0.46,0,0,0,0
 60-70,0,2.55,1.09,0.7,1.95,0,0,0,0,0.85,0,5.02,1.33,0,6.59,0,0,0,0,5.27,0,0,0,0,0,0,0
 72-82,0,0,0.57,0,0,0,0,0,0.63,0.64,0,8.91,0,0,1.93,0,0,0,2.17,2.97,0,0,0,0,0,0.98,0
 84-94,0,0,5.35,0,7.77,2.61,0,0,0,0,1.2,13.35,0,0,10.63,0,0,0,0,8.68,0,0,0,0.57,2.79,0,0
 96-106,0,0,5.06,0,0,0,0,0,0.65,0,0,10.65,0,0,20.39,0,2.3,0,0,0.6,0,0,0,0,3.26,1.07,0.66
108-118,0,7.23,1.14,0,0,3.59,0,0,0,3.04,0,12.02,0,0.79,0,1.35,0,0,0,3.41,0,0,0,0,0,0,1.46
120,0,3.12,0,0,0,3.22,0,0,0,1.74,0,4.95,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0
