stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,77.5,1092.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.22,0,0,0,0,0,0,0,0,0,0
  5-6,27.22,689.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.24,0,0,0,0,0,8.83,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.54,7,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,12.37,0,0,39.77,0,0,13.98,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.14,1.67,3.98,0,0,5.48,0,0,0,0,0,0,0,0,0.92,0,0,14.74,0,4.39,69.74,6.3,11.45,0,0,0,0,0,2.01,0,1.3,1.07,126.49,0,0,0,0
 24-34,0,0,0,0,11.12,0,0,17.59,2.94,0,0,10.92,0,0,0,0,0,0,0,19.54,0,5.24,109.56,14.32,32.75,0,0,0,0,0,0,0,10.95,0.99,453.92,0,5.82,0,0
 36-46,0,0,0,0,5.88,0,0,24.05,11.69,3.07,0,41.78,0,0.89,0,0,0.77,0,0,16.25,1.49,3.42,234.67,5.96,8.77,0,0,0,3.43,0.81,0,0.81,27.66,0,627.07,0,0,0,0
 48-58,0,0,0,0,10.64,0,0,45.51,7.36,0,0,38.23,0,5.13,0,0,0,0,0,13.45,0.77,5.53,285.15,0.94,14.01,0,9.55,0,1.88,0,0,0,25.01,0,363.13,0,0.39,0,10.99
 60-70,0,0,0,0,16.33,0,0,143.69,8.08,0,0,33.77,0,0,0,0,0.73,0,0,30.56,3.52,6.04,386.31,1.36,10.42,1.24,0,0,3.14,0,0,0,2.65,0,263.59,0.57,0,0.59,0
 72-82,0,0,0,0,11.65,0,0,294.87,1.39,0.64,0,38.57,9.35,0,0,4.04,0.64,3.75,0,35.63,7.59,3.06,567.71,0.84,23.17,2.77,0,0,0,0,0,0,2.01,0,211.39,1.75,0.81,1.45,0
 84-94,0,0,0,0,18.85,0,0,265.22,2.72,0.92,0,32.53,2.25,0,0,0.55,0,0,0,27.65,0,4.38,279.82,12.29,3.82,3.75,0,0,0,0,0,0,4.06,0,82.62,1.64,3,1.42,0
 96-106,1.12,0,0,0,22.73,4.57,0,315.83,0.57,0,3.15,45.77,7.45,0,0,4.63,0,10.35,0.68,31.72,1.27,8.29,453.11,2.14,11.79,1.63,0,1.44,3.27,0,0,0,0.7,0,89.73,1.16,0,3.11,3.35
108-118,0,0,0,0,14.2,0.94,2.55,258.01,0.84,2.25,0,37.87,0.42,0,1.4,6.98,1.31,0,0,32.08,1.58,4.41,380.94,2.1,13.9,1.98,0,0,0,0,0,0,1.36,0,110.28,0,0,2.46,0
120,0,0,0,0,21.63,0,0,245.14,1.76,3.05,0,50.28,0,0,0,12.86,0,6.84,0,30.95,2.4,0,767.29,9.77,10.4,0,0,0,0,0,0,0,2.35,0,188.92,0,0,2.64,0
