stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.81,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.07,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.28,9.1,157.68,69.57,0,51.9,0,0,17.52,6.96,1.01,0,2.8,0,0,0,0,100.89,0,0,75.22,1309.18,23.23,11.19,21.33,40.02,2.77,0.9,155.78,8.53,98.02,353.8,0,0,11.09,0,0
 24-34,0,0,5.43,65.45,12.12,0,288.79,0.66,0,41.2,0,2.58,1.59,0.83,0,4.29,1.41,0.67,281.65,3.48,3.91,91.99,3016.19,16.87,32.01,17.3,0,2.3,0,0,2.27,18.69,730.07,0,0,66.59,0,6.76
 36-46,0,0,0.56,25.43,4.21,0,603.95,3.44,0.64,38.99,0.74,0.67,0,0,3.64,0,0.62,0,284.48,0.95,8.27,87.58,2149.57,18.32,12.05,11.36,0,10.59,0,4.23,7.48,0,489.79,0,0,42.9,0,1.76
 48-58,0,0,0,40.33,5.84,0,522.65,1.12,2.55,41.11,6.58,3.19,0.41,0,1.65,1.57,5.11,0,244.85,0,8.08,47.27,926.43,7.08,5.56,20.54,0,8.02,0,0,0.78,0,157.57,0,0,30.13,0,12.35
 60-70,0.81,0,0,61.17,2.92,0,337.02,0.63,0,42.3,8.66,2.03,1.26,5.28,5.6,7.24,3.84,0,312.02,1.41,20.16,40.42,457.57,1.46,3.41,15.89,0,0,0,0,1.72,0,30.63,0,0,10.81,0,0
 72-82,0,0,0,27.69,0,0,134.22,0.8,1.73,29.62,5.83,3.62,0,1.63,0,0.61,6.3,0,196.51,0,15.19,25.24,245.75,2.91,8.01,10.53,0,0,0,0,3.94,0,4.5,3.04,0.5,19.64,0.67,0
 84-94,0,0,0,18.7,2.28,0.71,106.64,0,5.77,18.04,9.97,2.85,3.13,2.17,3.25,1.19,2.61,0,157.54,0,15.14,18.81,144.86,4.29,6.2,8.5,0,2.77,0,0,1.74,0,5.74,3.62,2.4,10.48,0,0
 96-106,0,0,0,16.49,0.87,0,66.3,0,0,10.62,6.2,3.24,5.09,1.95,2.2,0.59,0,0,62.6,0,5.67,13.55,152.08,1.9,2.93,7.85,0,6.35,0,0,3.55,0,3.09,0.61,0,20.67,0,0
108-118,0,0,0,6.01,3.65,0,82.14,0,0,9.47,5.94,2.12,9.01,0.94,0.41,1.1,0,0,54.31,0,2.07,8.98,168.19,1.55,1.95,5.24,0,0.97,0.48,0,1.83,0,4.38,0.81,0,10.31,0,0
120,0,0,0,10.15,7.92,0,122.42,2,1.04,31,0,0,29.95,0,0,0,3.72,0,78.94,0,0,6.27,289.68,2.06,5.04,2.57,0,1.07,0,0,0,0,3.82,0,0,8.13,0,0
