stage,axial,blastomeres,epidermis,eye,glial,gut,immune,iridophores,melanocytes,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste
  3-4,34.18,2061.56,0,0,0,0,0,0,0,0,0,0,0,95.1,0,0
  5-6,52.84,556.57,0,0,0,0,0,0,0,0,40.67,0,0,0,0,0
  7-9,0,5.84,0,0,0,0,0,0,0,0,51.55,0,4.2,0,0,0
 10-12,0,5.73,0,0,0,0,0,0,0,0,4.27,0,9.89,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.27,1.83,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.82,1.13,0,1.45,0,0,0.95,0
 36-46,0,0,0,0,0,0,0,0.56,16.49,0,0,0,0,1.13,4.52,0
 48-58,0,0,0,1.85,0.73,0,0,2.21,37.95,0,5.66,1.22,0,0,4.97,0
 60-70,0,0,0,0.89,0,0,0,2.87,32.2,0,13.29,1.19,0,0,0,0
 72-82,0,0,0,1.58,0,0,0,9.57,7.14,0,5.32,2.88,0,0,6.54,0.53
 84-94,0,0,0.7,0,0,0,0,5.41,23.51,0,1.4,0,0,0,0,0
 96-106,0,0,0,0.9,0,1.02,1.03,21.66,8.24,1.91,9.99,0,0,1.77,0,0
108-118,0,0,0,0.67,1.59,0,0,26.5,27.94,0,4.92,0,0,0,0,0
120,0,0,0,0,0,0,0,13.09,9.95,0,0,0,0,0,9.81,0
