stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,137.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.49,0,0,0,0,0,0,0,0,0,0
  5-6,0,298.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,57.63,69.89,0,42.09,0,0,149.15,0,0,0,0,0,12.76,0,0,0,0,0,0,0,0,0,790.53,36,0,0,221.08,0,0,9.91,0,0,0,0,0,0,0,0,0
 10-12,0,82.61,0,49.7,0,4.69,133.76,0,0,0,0,0,43.13,0,0,0,0,0,0,0,0,0,1931.59,106.76,0,0,508.88,0,0,0,4.19,80.5,0,0,0,0,0,0,0
 14-21,0,0,0.82,2.84,4.18,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,2.3,52.44,0,0,0.94,0,0,0,0,10.42,0.89,1.37,1.66,20.96,0,0,0,0
 24-34,0,0,0,0,3.87,0,14.37,0,0,0,2.1,0,0,0.62,0,0.71,0,0,0,26.53,6.64,1.04,129.81,0,0.89,0.64,0,0,0.88,0,0,0.71,0,3.66,23.49,0,1.34,0,0.76
 36-46,0,0,0,0,12.32,0,28.61,0,0,0,0.63,0.95,0,0,0,0,0,0,0,0.7,11.84,1.19,146.61,0,0.6,0,0,0,6.34,0,0,0,0,0,17.12,0,0.67,0,0
 48-58,0,0,0,0,2.02,3.25,44.67,0,0,0,9.68,1.61,0,0.67,0,9.22,0,0,0,0,13.56,6.35,120.53,0,0,0.41,0,0,0,0,0,6.97,0,0,22.46,0,0.97,0,0
 60-70,0,0,0,0,13.05,0,35.66,0.58,0,0,19.16,1.86,0,0,4.61,9.09,0,0,0,0,20.96,6.46,125.08,0,0.58,11.93,0,1.13,2.45,0,0,1.88,0,0,19.33,0,0.57,0,0
 72-82,0,0,0,0,0.87,0,74.52,1.49,0,1.38,12,0.84,0,0,0.55,0,0,1.13,1.93,0,23.6,0,107.41,0,0,3.8,0,1.1,0,0,0,0,0,0,5.46,1.16,6.03,0.6,8
 84-94,0,0,0,0,3.69,0,24.53,0,0.61,0,9.05,1.06,0,0.78,0,1.79,0.6,0,0.57,0,9.14,0.75,64.07,0,1.65,0,0,0,1.16,0,0,0,0,0,3.4,0,1.24,1,0
 96-106,0,0,0,0,0.59,0,18.28,0,0,0,4.59,0,0,2.54,1.56,0,0.71,0,0,0,4.79,5.75,54.14,0,0,0,0,0,2.92,0,0,0,0,0,0,0,4.46,0.68,0
108-118,0,0,0,0,0.83,0,20.08,0,0,0,4.64,0,0,0,0,0.49,0,0.64,0,0,4.04,0.53,37.37,0,0.59,0,0,0,0,0,0,0,0,0,0.71,0,2.45,0,6.5
120,0,0,0,0,5.34,0,15.9,0,0,3.46,16.56,1.14,0,0,0,0,0,0,0,0,19.2,0,82.19,1.17,0,0,0,0,2.44,0,0,0,0,0,0,0,0,0,0
