stage,epidermis,eye,fin_mesenchyme,glial,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
 14-21,0,0,0,3.59,0,0,0,25.38,0,1.91,1.32,1.84,1.08,2.75,1.78
 24-34,0,3.31,0,2.25,0,0.73,0.93,12.09,0,0,0,0,0,0.75,6.57
 36-46,0,2.64,0,1.06,0,0.87,0,28.39,1.4,0,0,0,0,0,2.13
 48-58,3.62,8.67,0,0,0,0.84,0,17.1,0,0.7,0,0,0,0,6.59
 60-70,0.82,32.31,0,0,0,2.93,0.9,15.23,0,0,0,0,0,0,2.75
 72-82,0,10.75,0,1.57,0,3.24,0,15.46,0,1.07,0,0,0,0,0
 84-94,0,19.08,0,0,1.7,3.14,0,10.9,0,0,0.58,0,0,0,0
 96-106,0,28.26,1.06,1.27,0,1.27,0.62,0,0,0,0,0,0,0,0
108-118,0,1.22,0,0,0,3.47,0.96,10.53,0,0,0,0,0,0,0
120,0,2.59,0,0,0,0,0,4.71,0,0,0,0,0,0,0
