stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,8.36,0,0.85,0,0,0,1.11,0,0,0,0,4.79,0,3.83,11.06,0,0,0,0,1.13,0.87,2.86,14.59,0,0,0,0
 24-34,1.44,1.47,0.81,3.67,0.8,0,0,0,1.17,0,0,0.95,1.41,0,1.82,35.62,0,0,0,0,0,0,0,10.25,0,1.04,0,1.51
 36-46,0,5.6,0,5.51,0,0,2.15,0,1.7,2.12,0,0,4.61,0,0,70.12,0.6,0,0,2.35,0,0,0,23.02,0,0,0,0
 48-58,0,0,0,17.42,0,0,8.15,0,0.94,0,0,0,4.9,0,0.49,84.14,0,0,0,2.41,0,0,0,13.76,0,0.8,0,0
 60-70,0,0,0,25.22,6.22,0,9.47,0,0,0.82,0,0,8.11,0.85,4.97,46.07,0,0,0,0,0,0,0,8.18,0,0,0,0
 72-82,0,2.82,5.47,20.58,0,0,3.87,0,0,0,0,0.52,12.37,0,0,55.33,0,1.06,0,4.52,0,0,0,5.91,0,0,0.99,2.17
 84-94,0,1.53,4.03,25.72,0,1.42,2.04,0,0,1.21,0,0,4.45,0,0,48.37,2.46,2.44,0,2.7,0,0,0,0.75,0,0,0,0
 96-106,0,0,1.52,5.13,0,0,6.97,0,0,0,0.81,0,6.29,0,0.83,25.89,0,4.24,5.81,5.63,0,0,0,0,0,0,0,0
108-118,0,0.84,0,12.89,0,0,1.62,0,0,0.59,0,2.18,11.04,7.72,0,22.1,0,0,0,2.94,0,0,0,0,0.43,0,0,0
120,0,0,0,13.96,2.96,0,2.14,0,5.19,3.11,0,0,23.58,0,0,86.62,3.22,0,0,2.51,0,0,0,0,0,0,0,0
