stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,30.07,631.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,97.28,1045.67,0,0,0,0,0,0,0,0,0,0,0,0,42.65,10.72,0,0,31.6,19.7,0,0,0,0,0
  7-9,12.62,27.03,9.09,0,0,43.04,0,0,19.23,0,0,0,0,0,348.76,29.2,0,0,111.08,0,0,0,0,0,0
 10-12,0,9.59,9.28,0,0,15.44,0,0,0,0,0,0,0,0,294.39,0,0,0,86.81,0,0,8.87,0,3.51,0
 14-21,0,0,0,2.88,0.9,2.42,0,0,0,0,0,4.51,0,2.88,43.36,0,0,0,0,0,6.6,0,3.77,8.18,0
 24-34,0,0,0,0,0,4.47,0,1.16,0,0,0,7.31,0,1.38,91.81,0,0.6,0,0,1.27,0,0,0,20.5,0
 36-46,0,0,0,0.6,0,6.08,0,2.46,0,0,0,1.9,0.74,1.68,39.35,0,0.81,0,0,0,0,0,0,12.43,1.5
 48-58,0,0,0,2.47,0,15.5,0,1.74,0,0,0,2.93,0,0.41,14.53,0.96,0,0,0,0.41,0,0,0,9.14,0
 60-70,0,0,0,0,0,21.95,0.97,1.6,0,1.17,0,3.61,0,0.74,19.6,0,0,0.83,0,0,0,0,0,1.36,0
 72-82,0,0,0,0.63,0,1.25,0,2.94,0,0,0,3.06,0.62,0,11.33,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.57,0,2.89,0,0.6,0,0,0,4.27,0,0,7.97,0,0,0.97,0,2.39,0,0,0,0,1.06
 96-106,0,0,0,0,0,3.02,1.92,1.98,0,0,0.63,3.24,0,0,3.84,0,1.65,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.43,0,2.3,0,0,0,3.07,1.38,0,2.68,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
