stage,blastomeres,eye,glial,melanocytes,mesenchyme,neural,olfactory,presomitic.mesoderm,spinal.cord,xanthophores
  5-6,24.83,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.38,0.89,0
 24-34,0,0,0,0,0,2.69,0,0,1.69,0
 36-46,0,0,0,0,1.84,6.41,0,0,1.39,0
 48-58,0,0.56,0,0,0.8,34.44,1.99,0,1,0.63
 60-70,0,5.71,0,0,0,18.17,0,0,5.88,0
 72-82,0,2.76,2.54,0,0,7.34,0,0,1.28,0
 84-94,0,5.27,0,0.73,0,12.35,0,0,0,0
 96-106,0,1.46,0,0,6.89,3.17,0,0,0,0.62
108-118,0,0.55,0,0,0,11.56,0,0,3.91,0
120,0,0,0,0,0,3.03,0,0,0,0
