stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,64.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.33,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,14.64,0,0,16.66,0,0,0,0,0,0,0
 14-21,0,1.01,0,0.9,2.48,0,0,0,0,0,0,0,0.82,0,0,1.1,0,0,0,0,0,16.33,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,5.17,0.79,0,0,6.13,0,0.94,4.77,0.83,0,0,0,1.1,30.76,0,0,0,0
 36-46,0,0,0.64,0,0,0,0,0.78,4.05,0,0,0,10.07,2.09,1.34,27.38,0.64,2.7,0,0,1.02,37.88,0,0,5.43,0
 48-58,0,0,0,0,1.14,0,0,2.31,16.55,0,0.39,0,27.91,0,2.98,40.09,3.46,0.42,0,0.56,1.28,18.68,0,0,0,0
 60-70,0,0,0,0,8.78,7.12,0,2,15.02,2.07,0,0,79.06,1.71,0,72.14,3.91,0,0,3.49,0,33.09,0,0,1.04,0
 72-82,0,0,1.26,0.59,4.47,0,0,6.43,21.43,0.91,0.49,0,105.8,7.75,2.51,96.06,0,13.04,0,0,0,26.46,0,0,2.96,0
 84-94,0,0,11.65,0,0.78,2.24,0,3.11,21.24,1,0,1.81,87.66,6.36,0,98.08,0,3.97,0,0,0.66,15.15,2.06,0,6.66,0
 96-106,0,0,4.32,0,8.45,3.05,0,2.26,10.26,2.84,3.46,4.24,102.72,2.74,0,107.49,0.57,3.78,0,0,0,24.83,0,0.89,1.81,0.93
108-118,0,0,1.81,0,11.08,0.52,0,7.37,12.59,0,9.36,0,102,0.92,4.94,75.32,0,10.06,0,3.27,7.36,6.1,0,0,0.85,0.72
120,0,0,0,0,9.77,0,1.62,9.01,14.12,0,0,5,86.85,6.89,0,186.54,0,20.26,0,28.21,0,8.45,0,7,3.98,0
