stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,17.5,403.77,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0
  5-6,12.36,221.55,12.33,0,0,0,0,0,0,0,0,0,11.25,0,0,0,0
  7-9,0,0,3.91,0,6.71,0,0,0,91.64,3.21,0,20.16,0,0,0,0,0
 10-12,0,14.04,12.07,0,18.12,0,0,0,23.37,0,0,18.89,0,0,0,0,0
 14-21,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0.81,0,0,0
 24-34,0,0,0,0,2.73,0,0,2.51,10.4,0,0,0,1.42,0,0.6,2.77,0
 36-46,0,0,0,0.67,1.28,0,0,4.2,11.79,0.62,0,0,0,0,0,0,0
 48-58,0,0,0,0,8.44,1.19,0,0,4.21,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.68,7.29,0,0,0,14.22,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.82,0,2.27,5.27,4.43,0,0,0,0,0,0,0,1.02
 84-94,0,0,0,0,0,0,6.29,1.27,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.41,1.95,5.93,0,2.96,10.85,0,0,0,0,0,0,0,0
108-118,0,0,0,3.11,4.92,0,0,3.67,5.36,0,1.23,0,1.96,0,0,0,0
120,0,0,0,0,2.1,0,1.91,2.55,11.23,0,0,0,1.14,0,0,0,0
