stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,45.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.01,0,0,3.05,0,0,0,0,0,0,0,0
 14-21,0,0,7,2.37,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,3.45,5.42,0,0,0,5.57,2.11,8.7,3.01,5.33,0,0,0
 24-34,0,0,3.88,5.17,0,0.59,0.72,0,0,0,0,0,0,0,0,0,3.62,0,0.74,9.49,0,0,0,0,0,0,0.62,9.98,1.24,0,0
 36-46,0,0,0,0.73,0,0,0,1.65,0,0,0,0,0,0,0,0,6.63,0,0.8,5.76,0,0,0,0,2.38,0,0,0,0,0,0
 48-58,0,0,0,1.56,0,0,0.55,2,0,0,0,0,0,0,0,3.06,11.28,0,0.4,13.48,1.04,0,0,0,0.4,0,0,1,0,0,0
 60-70,0,0,0,6.52,1.17,0,0,0,0,0,0,0,2.89,0,0,0,4.04,0.6,0,4.03,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.41,0.74,0.54,0,4.07,4.38,0,0,0.75,0,0,0,0,0,21.27,0,1.33,5.15,0,0,0,0,0.61,0,0,0,0,0,0
 84-94,0,0,0,3.03,0,0,0,0,1.61,0.6,0,0.75,0,0,0,2.95,10.53,1.13,0.61,0,0,0,0,0,0,0,0,2.13,0,0,0
 96-106,0,0,2.55,7.41,0,0.89,0,3.48,0,0,0,0,0,0,0.59,0,21.33,0.56,2.62,11.82,0,1.11,0,0,0,0,0,0,0.76,0.87,0.8
108-118,0,1.33,7.71,0,0,2.63,1.6,1.27,0.47,0,0,0,1.98,0.49,0.65,1.34,21.94,0,3.89,3.86,0,0,0,0,0,0,0,0.47,0,6.23,1.2
120,0,0,4.62,0,0,4.24,8.69,0,0,0,0,0,0,0,0,0,14.92,0,0,20.93,0,0,0,0,1.26,0,0,0,0,0,0
