stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,48.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.84,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.39,0,18.19,0,0,0,13.02,0,0,0,0,0,0,0,0,0,0,0,0,69.2,6.18,0,33.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,13.02,0,0,3.83,0,0,0,0,0,0,0,0,0,81.98,8.53,0,54.45,0,0,3.81,0,0,0,0,0
 14-21,0,1.07,2.1,3.53,1.99,0,1.28,0,7.45,0,0,0,0,0,0,2.05,0,0,1.82,24.49,0,0,0,0,3.02,0.9,3.84,4.76,0,0,0
 24-34,0,0.67,0,1.81,0,0,4.13,0,0,0,0,0,0,0.63,0,3.59,0,0,0,49.92,0.65,0,0,1.56,0,15.88,0,12.2,0,5.16,0
 36-46,0,0,0,1.7,0,0,9.46,0,5.33,0,0,0,0,0,0,4.92,0,0,1.94,29.94,0.69,2,0,0,0,2.94,0,10.39,0,2.36,0
 48-58,0,0.4,0,0,0,0,7.97,0,3.29,0,0,0,0,0,0,7.12,0,0,1.73,24.29,0,0,0,0,0,1.39,0,8.43,0,0,0
 60-70,0,0,0,0.68,1.23,0,4.8,0.73,2.43,0,0,0,2.01,0,1.05,8.89,0,0,0.6,11.15,0,0,0,0,0,4.52,0,4.39,0.63,1.77,0
 72-82,0,0,0,0,0,0,0.66,0,1.31,0,0,0,0,0,0,19.32,0,0.85,0,8.34,0,0,0,0,0,1.38,0,0,0,0,0
 84-94,0,1.82,0,2.89,0,0,1.69,0,0,0,0,0,0.64,0,0,8.36,0,0,0,8.43,0,0,0,0,0,8.96,0,0,0,0,0
 96-106,0,1.1,0,0,0,0,0,0,1.18,0,0.72,0,0,0,0,13.73,0,0,1.16,10.59,0,2.21,0,4.5,0,9.01,0,0,0,0.62,1.89
108-118,0,0,0,0.98,0,1.01,0,0,1.14,0,0,0,0,0,0,8.57,0,0.94,0.68,0.99,0,0,0,0,0,22.71,0,6.58,0,0,0.84
120,0,12.72,0,1.09,0,0,0,0,18.61,0,0,1.97,0,0,0,21.51,1.72,0,0,11.28,1.77,0,0,0,0,31.77,0,0,0,0,0
