stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.57,0,0,0,0,0,0,0,0
  5-6,8.74,81.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,0,0,0,0,0,0,0,0,0,0
  7-9,15.27,5.08,7.34,0,0,19.39,0,0,0,4.98,0,0,0,0,100.85,40.47,0,87.08,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.62,44.9,0,16.33,23.72,0,0,0,0,0,0,0,0,382.28,29.61,0,194.4,0,0,0,82.24,0,0,0,0,0,0
 14-21,0,0,0,5.61,1,0,0,0,0,0,0,3.75,0,0,13.77,1.14,0,0.92,0,0,2.87,0.89,1.65,0,5.58,0,0,0
 24-34,0,0,0,1.56,0.66,3.26,0,0,1.45,0,0,11.2,0,3.58,23.56,0,0,0,0,0,0,0,0,3.46,2.26,0,0,0
 36-46,0,0,0,0,0,3.71,0,0,0.84,0,0.61,10.5,0,2.68,12.01,2.93,0,0,0,0,0,0,0,0,11.04,1.51,0,0
 48-58,0,0,0,0,0,3.4,0,2.32,1.01,0,0,16.59,0,1.2,16.16,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.65,0.65,1.66,11.82,0,6.42,38.01,8.93,0,7.79,0,1.18,0,1.92,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1,0,11.24,0,6.15,3.87,0,0,25.34,0,2.34,1.4,0,0,0,0,0,0,0,0,0,5.48,0,0.99,0
 84-94,0,0,0,0,0,2.7,0,3.47,2.48,0,0,22.6,0,3.61,2.61,0,0,0,0,0,0,0,0,0,0,0,3.81,0.73
 96-106,0,0,0,0,0,0,0,1.51,0.68,0,0,20.33,0,0.89,3.27,0,0,0,1.16,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.12,0,7.63,2.31,0,0,22,1.44,0.59,4.62,0,1.27,0,0,0,0,0,0,0,0,0,2.16,1.28
120,0,0,0,0,0,0,0,0,1.21,0,0,42.98,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0
