stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,86.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.74,107.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.98,4.58,0,0,6.22,0,0,0,0,0,0,0
 10-12,0,0,0,0,11.83,0,0,0,0,0,0,0,0,0,0,0,0,42.38,0,0,0,0,0,10.82,0,0,0,0,0
 14-21,0,0,1.41,1.6,0,1.42,0,0,0,0,0,0,0,0,2.01,0,0,13.07,0,0,1.14,0,0,0,1.09,0.81,0,0,0
 24-34,0,0,0,0,0,1.13,0,0,0,1.13,0,0,0,0,5.68,0,2.27,26.37,0,0,0,0,0,0,0,5.27,0,0,0
 36-46,0,0,0,0,0,2.14,0,2.16,0,0,0,0,0,0,6.27,0.89,1.51,12.22,0,0,0,0,0,0,0,8.5,0,0,0
 48-58,0,0,0,0,0,3.55,0,2.85,0,0,0,0,0,0,3.34,0,0,13.93,0,0,0,0,0.44,0,0,4.49,0,0,0
 60-70,0,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0.98,0,0,7.75,0,0,0,0,0,0,0,10.38,0,0,0
 72-82,0,0,0,0,0,0.91,0,0,0,0,0,0,0.49,0,5.06,0,0,17.79,0,1.18,0,0,0,0,0,0,0.75,0.84,0
 84-94,0,0,0,0,0,3.7,0.86,2.74,0,0,0,0,0,0,4.93,0,0,36.08,0,0,0,0,0,0,0,3.76,0,0,0
 96-106,0,0,0,0,2.28,3.27,0,2.83,1.4,0,0,1.36,0,0,3.32,0,0,7.28,0,1.12,0,0,0.98,0,0,0,0,0,0
108-118,0,0,0,1.75,0.58,0,0,0,0,0,0.53,1.41,0,0.51,4.47,0,0,3.41,0,0,0,0,0,0,0,0,0,0.5,1.8
120,0,0,0,0,0,6.14,0,7.23,0,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
