stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.07,293.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.71,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,167.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,15.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,21.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.05,0,0,0,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,6.93,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,2.11,0.83,3.9,0,4.82,0,0,0,1.1,0,0,1.8,0,3.48,0,0,0,0,2.22,0,0,2.32,56.25,2.59,0,0,0,5.2,0.9,0,85.93,56.88,63.13,0,0,8.76,0,0
 24-34,0,0,0.67,0.59,1.28,2.72,0,10.11,0,0,0,0.68,0.66,0,8.24,0.6,1.46,0,1.32,6.95,0,4.74,0,0,14.8,323.35,0.59,0,0,0,40.22,0,2.04,9.71,5.21,210.24,0,0,64.01,0,3.29
 36-46,0,0,0,0,2.74,4.05,0,13.91,8.51,0,0,4.11,0,0,8.33,1.82,3.45,0,0,3.07,4.14,6.07,0,0,3.04,451.66,0,11.03,0,0,42.46,0,0,9.37,0,271.32,0,0,48.07,0,7.04
 48-58,0,0,0,0,8.39,0,0,25.4,3.64,0,0.67,11.5,0,0,1.98,0,0,0,0.49,5.26,3.55,7.38,0,0,7.21,487.9,0,0.47,3.99,0,45.02,0,0,5.67,0,231.38,0,0,33.24,0,1.18
 60-70,0,0,0,0,7.32,0,0,90.7,3.71,0,0,24.85,0.62,5.24,2.9,5.18,1.4,0,0,9.63,1.05,18.59,3.18,0,8.32,715.15,0,2.13,1.23,0,39.81,0,0,0,0,174.65,0,0,72.03,0,10.24
 72-82,0,0,2.08,0,2.67,4.09,0,158.75,1.92,0,0,75.82,4.05,0,4.17,2.26,2.59,0,2.08,0,0,25.69,0,1.19,2.05,910.09,0,3.8,0,0,24.39,0,0,2.66,0,117.7,0.67,1.34,132.58,4.1,8.25
 84-94,0,0,0,0,35.34,0,0,176.34,0.79,0,1.18,38.18,5.65,2.07,4.16,8.12,1.83,0.62,2.13,0,0.98,29.83,0,3.37,3.75,719.59,0,0,0,0,53.89,0,0,0.62,0,107.72,3.21,0.58,80.9,3.08,0
 96-106,0,0,1.53,0,33.09,7.99,0,230.45,0.64,0,1.02,75.24,4.19,0,3,9.69,2.51,1.2,2.8,0,7.1,28.04,5.67,4,3.82,606,0,1.32,3.34,0,55.09,0,0,0,0,80.29,3.34,1.23,104.15,3.76,12.03
108-118,0,0,0,0,39.11,0,4.37,269.78,1.32,0.6,0,50.59,15.74,0,1.9,13.06,4.17,8.51,1.29,5.32,20.39,22.86,1.22,3.86,5.51,794.77,0,2.45,2.53,0,24.94,0,0,0.5,0,48.87,5.49,2.46,97.41,11.46,6.58
120,0,0,4.16,0,18.74,0,0,106.28,3.87,1.33,19.12,118.16,17.01,0,10.06,12.47,1.32,5.74,3.5,3.23,1.33,13.23,0,4.59,0,1261.83,0,6.84,8.63,0,31.32,0,0,0,0,94.58,6.81,0,79.04,0,4.83
