stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0,0,0,0,0
 24-34,0,0,0,1.29,0,0,0,4.6,0,0,3.46,0,0,2.65,0,0,0,0,0,14.59,0,0,0
 36-46,0,0,0.87,0,0,0,0,2.66,0,0,11.4,0.86,0,13.98,13.52,0,8.6,0,0,25.29,0,0,0.78
 48-58,0,0,2.74,3.21,0,0,0,0.58,0.47,0,27.99,0,1.48,12.2,0.98,0,0,0,0,46.04,0,0,0
 60-70,0,0,80.7,4.68,0,0,0,0.66,1.2,0,97.53,8.86,3.32,24.73,0,0,6.91,0,0,24.71,0,0.87,2.45
 72-82,0,0,195.09,3.19,0,3.48,0,0,2.44,0,133.33,25.36,3.92,32.34,1,0,6.2,0,1.23,37.55,7.85,0,28.8
 84-94,0,2.05,186.39,10.39,1.47,1.97,0,0,3.51,4.86,124.01,11.97,7.04,28.98,0,0,2.63,0.64,0.74,59.21,12.31,1.59,10.39
 96-106,0,0.67,174.3,10.66,0.58,12.68,0,1.52,7.08,7.05,176.71,10.92,9.91,26.65,0,0,26.53,0,0.82,66.81,10.13,2.04,28.42
108-118,0,0.72,155.39,14.63,0,4.87,0.71,4.1,5.68,1.75,207.83,31.31,10.95,34.39,0,0,23.67,1.19,0.8,25.96,6.25,0,15.25
120,0,0,205.31,6.8,0,5.46,0,2.18,18.59,0,110.67,43.38,21.61,7.9,1.17,10.96,7.06,0,0,15.66,0,0,9.7
