stage,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,muscle,neural,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0
 24-34,0,0.85,0,0,0,0,1.39,2.93,2.05,9.99,2.95,0,12.31,0.65,0
 36-46,0,0.71,0,1.17,1.78,0,0.79,1.67,0,19.37,0,0,8.28,0,0
 48-58,0,0.94,0.39,0.67,0.39,0,0,1.83,0,21.07,0,0.41,13.7,0,0
 60-70,0,3.41,0,0,0,0,0,0,0,50.95,0,0,10.3,0,0
 72-82,0,27.97,1.14,0,3.27,0,0,5.96,0,41.05,0.58,0,2.48,2.85,0
 84-94,3.08,16.65,0,0,1.94,0,0,1.64,0,21.67,1.15,0,5.76,0,0
 96-106,1.8,24.73,0,0,0,0,0,0,0,16.97,0,0,4.02,0,0
108-118,0,12.18,0,0,0.89,1.17,0.75,0,0,32.45,0,0,0,0,0
120,0,0,0,0,2.03,0,0,0,0,65.65,0,0,0,0,4.69
