stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,68.38,0,4.91,0,0,0,0,0,91.11,0,0,0,0,0
 24-34,2.24,0.59,2.99,0,0,9.69,0,0,1.06,0,0,0,0,0,0,0.68,0,0,2.88,0,0,0.79,1303.42,1.45,29.97,3.28,0,0.93,0,6.26,627.02,0,0,1.4,0,0
 36-46,2.43,0,2.95,0,0,32.11,0,0,1.25,6.6,0,0.93,0,0,0,0.61,0,0,2.72,0,0,0,2595.9,0,15.64,2.9,7.92,0,0,0,998.02,0,0,0.69,0,0
 48-58,1.59,0,8.64,0,0,279.25,1.03,0,1.96,35.05,0,0,0.85,0.49,6.72,0,0,0,13.45,0,0,3.64,4437.23,0,27.38,2.36,0,7.45,0.42,0,924.91,0,0,0,0,7.7
 60-70,0,0,8.08,4.76,0,1616.05,1.08,4.14,0,54.18,0,0,5.72,0,2.01,0,2.11,0,30.66,0,0.93,0.82,5751.31,0,15.33,4.16,0,10.84,1.72,0,985.36,0,0,8.19,0,10.09
 72-82,3.17,0,22.21,7.71,0,3354.54,1.43,0,6.4,79.91,2.73,2.3,0,0.54,0.57,1.05,0,3.31,43.96,0.92,0,4.81,7027.68,0,27.48,3.98,0,1.21,0,0,640.38,0,1.19,7.91,0,12.42
 84-94,1.01,0,18.48,7.46,0,2044.86,0,0.91,0,105.96,6.4,0,2.23,0.67,11.78,0,0,0,30.61,0,2.52,5.13,4404.18,0,10.29,10.61,0,0.68,0,0,364.7,0,8.34,7.16,1.94,0
 96-106,1.15,0,23.99,0,0,2212.47,0,0,5.63,72.23,3.15,1.98,3.32,0,0.77,0,0,0,23.81,0,0,4.06,3588.32,0,13.2,11.93,0,2.08,0,0,148.28,1.57,3.16,0.82,2.43,9.8
108-118,1.5,0,40.47,7.31,3.06,2111.2,0.56,2.46,1.15,70.04,1.92,0,1.81,0.47,0,0.45,3.18,0,40.16,0,5.7,0.79,3996.41,0,11.27,18.19,0,5.72,0,0,195.08,5.11,0,6.14,4.14,0
120,3.73,0,79.56,2.55,21.17,2241.02,2.29,2.41,0,194.46,5.74,0,4.02,0,3.86,4.13,0,0,57.54,0,2.35,14.74,8552.82,3.31,26.61,0,0,3.13,2.43,0,407.16,0,0,19.19,0,7.58
