stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,33.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,132.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.39,0,0,20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,54.87,0,0,0,32.65,0,0,0,0,0,0,0
 10-12,0,30.82,0,6.59,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,103.29,0,0,0,42.45,0,0,0,11.02,0,0,0
 14-21,0,0,2.14,0,0.85,0,0,0,0,0,0,0,0,0,0,3.43,0,0,9.45,0,0,0,0,0,0,2.99,0,0.81,8.46,0
 24-34,0,0,0.8,0,3.24,0,0,0,0,0,0,0,0,0.96,0,4.99,0,2.52,40.44,0,4.04,0,0,0,0,0,0.83,0,3.23,2.26
 36-46,0,0,0,0,7.83,0,0,1.61,0,0,0,0,0,0,6.95,2.61,0,0.75,39.92,0,0,0,0,0,0,0,0,0,0.62,0.63
 48-58,0,0,0.43,0,12.59,0,0,1.24,1.92,0,0,0,0,0,0,5.47,0,1.27,36.1,0.39,0.4,0,0,0,2.34,0,0,0,10.03,0
 60-70,0,0,1.05,0,43.9,0,0,1.86,0,0,0,0,0,0,0,6.92,0,0,50.46,0,0,0,0,0.63,1.98,0,0,0,3.98,2.38
 72-82,0,0,1.05,1.53,22.36,7.85,1.56,3.44,0.94,3.2,0.56,0,0,0,0,7.23,3.13,0.9,28.23,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.94,0.82,10.59,0,0,2,0,0,0,0,0,0,0,5.9,0,1.16,24.58,1.13,0,1.52,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.77,30.5,0,0,0,1.39,0,0.71,1.25,0,0,0,7.91,0,0,23.9,0,0,0,0,0,0,0,0,0,3.74,2.42
108-118,0,0,2.79,0,18.39,0.72,0,5.18,0,0,0.97,0,0,0.6,0,7.84,0.91,0.79,15.26,0,0,0.5,0,0,0,0,0,0,2.21,0
120,0,0,4.17,0,12.48,0,3.09,0,0,0,3.46,0,4.95,0,0,9.16,0,0,26.78,0,0,0,0,0,0,0,0,0,0,1.41
