stage,axial,blastomeres,epidermis,erythrocytes,hatching.gland,heart,immune,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pgc,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,14.44,19.02,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,0,0
  7-9,0,14.41,0,0,0,0,0,0,0,0,12.76,3.26,4.23,0,0,0,0,0
 10-12,0,0,0,0,3.59,0,0,0,0,0,27.07,0,26.14,0,7.13,0,0,0
 14-21,0,0,0,4.33,0,0,0,0,2.23,3.88,6.58,0,0,0,2.6,0,0,0
 24-34,0,0,0,0.62,0,0,0,0,6.34,1.88,14.26,0,0,0,0,2.17,0.64,0
 36-46,0,0,0.65,0,0,0,0,0,2.2,0.9,1.06,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.13,0,5.01,0,0,0.65,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,8.6,0,1.62,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.52,0,9.89,0,0,0,0,0,0,0.6
 84-94,0,0,0,0,0,0,0.79,0,1.93,0,2.27,0,0,0,0,0,0,0
 96-106,0,0,0.6,0,0,0.73,0,0,0,1.1,0,0,0,2.48,0,0,0,0
108-118,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0.53,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0
